tvals,u1_1,u1_2,u1_3,u1_4,u1_5,u1_6,u1_7,u1_8,u1_9,u1_10,u1_11,u1_12,u1_13,u1_14,u1_15,u1_16,u1_17,u1_18,u1_19,u1_20,u1_21,u1_22,u1_23,u1_24,u1_25,u1_26,u1_27,u1_28,u1_29,u1_30,u1_31,u1_32,u1_33,u1_34,u1_35,u1_36,u1_37,u1_38,u1_39,u1_40,u1_41,u1_42,u1_43,u1_44,u1_45,u1_46,u1_47,u1_48,u1_49,u1_50,u1_51,u1_52,u1_53,u1_54,u1_55,u1_56,u1_57,u1_58,u1_59,u1_60,u1_61,u1_62,u1_63,u1_64,u1_65,u1_66,u1_67,u1_68,u1_69,u1_70,u1_71,u1_72,u1_73,u1_74,u1_75,u1_76,u1_77,u1_78,u1_79,u1_80,u1_81,u1_82,u1_83,u1_84,u1_85,u1_86,u1_87,u1_88,u1_89,u1_90
-364.583333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-363.583333333333,-3.93871150592418e-05,-3.93008372867598e-05,-3.9210597407191e-05,-3.91161184936095e-05,-3.90170974249315e-05,-3.89132017577509e-05,-3.8804066136322e-05,-3.86892881394374e-05,-3.85684235322259e-05,-3.84409807487884e-05,-3.83064144990897e-05,-3.8164118311812e-05,-3.80134158532996e-05,-3.78535507081779e-05,-3.76836743622988e-05,-3.75028319901105e-05,-3.73099455810433e-05,-3.71037938240448e-05,-3.68829879509036e-05,-3.66459427336707e-05,-3.6390841305689e-05,-3.61155924402112e-05,-3.58177782135982e-05,-3.54945897367287e-05,-3.51427475600019e-05,-3.4758402732038e-05,-3.43370128703668e-05,-3.38731862363773e-05,-3.3360484211542e-05,-3.27911698683181e-05,-3.21558863927152e-05,-3.14432442536372e-05,-3.06392905162767e-05,-2.97268279592089e-05,-2.86845485000242e-05,-2.74859512785497e-05,-2.60980471722405e-05,-2.4479945050615e-05,-2.25816572338999e-05,-2.0344018075491e-05,-1.77017643618882e-05,-1.45938258189204e-05,-1.09873314446673e-05,-6.92489799902773e-06,-2.68102321143715e-06,2.68102321143715e-06,6.92489799902773e-06,1.09873314446673e-05,1.45938258189204e-05,1.77017643618882e-05,2.0344018075491e-05,2.25816572338999e-05,2.4479945050615e-05,2.60980471722405e-05,2.74859512785497e-05,2.86845485000242e-05,2.97268279592089e-05,3.06392905162767e-05,3.14432442536372e-05,3.21558863927152e-05,3.27911698683181e-05,3.33604842133184e-05,3.38731862363773e-05,3.43370128703668e-05,3.4758402732038e-05,3.51427475617783e-05,3.54945897385051e-05,3.58177782153746e-05,3.61155924402112e-05,3.6390841305689e-05,3.66459427336707e-05,3.68829879509036e-05,3.71037938240448e-05,3.73099455810433e-05,3.75028319901105e-05,3.76836743622988e-05,3.78535507081779e-05,3.80134158532996e-05,3.8164118311812e-05,3.83064144990897e-05,3.84409807487884e-05,3.85684235322259e-05,3.86892881394374e-05,3.8804066136322e-05,3.89132017595273e-05,3.90170974249315e-05,3.91161184918332e-05,3.92105974089674e-05,3.93008372867598e-05,3.93871150592418e-05
-362.583333333333,-7.87742301220362e-05,-7.86016745717433e-05,-7.8421194814382e-05,-7.8232236987219e-05,-7.80341948498631e-05,-7.78264035172782e-05,-7.76081322744204e-05,-7.73785762788748e-05,-7.71368470644518e-05,-7.68819615011296e-05,-7.66128289981793e-05,-7.63282366254003e-05,-7.6026831710152e-05,-7.57071014181321e-05,-7.53673487245976e-05,-7.5005663980221e-05,-7.46198911674156e-05,-7.42075876480897e-05,-7.37659759018072e-05,-7.32918854620124e-05,-7.27816826131544e-05,-7.22311848804225e-05,-7.16355564289728e-05,-7.09891794770101e-05,-7.02854951253329e-05,-6.95168054658524e-05,-6.867402574251e-05,-6.77463724745309e-05,-6.6720968417755e-05,-6.55823397330835e-05,-6.4311772788983e-05,-6.28864885072744e-05,-6.12785810361061e-05,-5.94536559237469e-05,-5.73690969893903e-05,-5.49719025713102e-05,-5.21960943533628e-05,-4.89598900994537e-05,-4.51633144642472e-05,-4.0688036150982e-05,-3.54035287184473e-05,-2.91876516413936e-05,-2.19746628697948e-05,-1.38497960051609e-05,-5.36204642109794e-06,5.36204642109794e-06,1.38497960051609e-05,2.19746628697948e-05,2.91876516413936e-05,3.54035287184473e-05,4.0688036150982e-05,4.51633144642472e-05,4.89598900994537e-05,5.21960943533628e-05,5.49719025713102e-05,5.73690969893903e-05,5.94536559237469e-05,6.12785810361061e-05,6.28864885072744e-05,6.4311772788983e-05,6.55823397330835e-05,6.67209684195313e-05,6.77463724763072e-05,6.86740257442864e-05,6.95168054658524e-05,7.02854951253329e-05,7.09891794770101e-05,7.16355564307491e-05,7.22311848804225e-05,7.27816826149308e-05,7.32918854620124e-05,7.37659759018072e-05,7.42075876480897e-05,7.46198911674156e-05,7.5005663980221e-05,7.53673487245976e-05,7.57071014181321e-05,7.6026831710152e-05,7.6328236623624e-05,7.66128289981793e-05,7.68819615011296e-05,7.71368470644518e-05,7.73785762788748e-05,7.76081322744204e-05,7.78264035172782e-05,7.80341948480867e-05,7.82322369836663e-05,7.84211948161584e-05,7.86016745717433e-05,7.87742301220362e-05
-361.583333333333,-0.000118161345183054,-0.000117902511858503,-0.000117631792219797,-0.000117348355479052,-0.000117051292269466,-0.000116739605273253,-0.00011641219840719,-0.000116067864418312,-0.00011570527060023,-0.000115322942251694,-0.000114919243493716,-0.000114492354935436,-0.000114040247561675,-0.00011356065212631,-0.00011305102308512,-0.000112508495970332,-0.000111929836753788,-0.000111311381472134,-0.000110648963852711,-0.000109937828195683,-0.000109172523922396,-0.000108346777320634,-0.0001074533346479,-0.000106483769210186,-0.000105428242688888,-0.000104275208196114,-0.00010301103861643,-0.000101619558714461,-0.000100081452625744,-9.83735096014016e-05,-9.64676591781455e-05,-9.43297327609116e-05,-9.19178715523827e-05,-8.91804838865085e-05,-8.60536454787564e-05,-8.24578538569654e-05,-7.82941415273797e-05,-7.34398351553978e-05,-6.77449716945944e-05,-6.10320542353548e-05,-5.31052930607956e-05,-4.37814774532086e-05,-3.2961994303804e-05,-2.07746940130704e-05,-8.04306962720602e-06,8.04306962720602e-06,2.07746940130704e-05,3.2961994303804e-05,4.37814774532086e-05,5.31052930607956e-05,6.10320542353548e-05,6.77449716945944e-05,7.34398351553978e-05,7.82941415273797e-05,8.24578538569654e-05,8.60536454787564e-05,8.91804838865085e-05,9.19178715523827e-05,9.43297327609116e-05,9.64676591781455e-05,9.83735095978489e-05,0.000100081452625744,0.000101619558716237,0.00010301103861643,0.000104275208196114,0.000105428242690664,0.000106483769213739,0.0001074533346479,0.000108346777320634,0.000109172523922396,0.000109937828195683,0.000110648963852711,0.000111311381472134,0.000111929836753788,0.000112508495970332,0.00011305102308512,0.00011356065212631,0.000114040247561675,0.000114492354935436,0.000114919243495493,0.000115322942251694,0.00011570527060023,0.000116067864418312,0.00011641219840719,0.000116739605275029,0.000117051292269466,0.000117348355477276,0.000117631792223349,0.000117902511858503,0.000118161345183054
-360.583333333333,-0.000157548460245849,-0.000157203349143487,-0.00015684238963054,-0.000156464473972662,-0.000156068389694397,-0.00015565280703278,-0.000155216264545288,-0.00015475715255775,-0.000154273694134233,-0.000153763923002259,-0.00015322565799103,-0.000152656473247248,-0.000152053663413199,-0.000151414202834488,-0.000150734697445642,-0.000150011327960442,-0.00014923978234016,-0.000148415175294403,-0.000147531951801838,-0.000146583770925801,-0.000145563365228085,-0.000144462369759069,-0.000143271112863275,-0.000141978358948691,-0.000140570990252442,-0.000139033610924599,-0.000137348051486796,-0.000135492744949062,-0.00013344193683551,-0.00013116467946972,-0.000128623545574413,-0.000125772977016325,-0.000122557162073988,-0.000118907311847494,-0.000114738193975228,-0.000109943805140844,-0.000104392188701397,-9.79197801918019e-05,-9.03266289338234e-05,-8.13760723161749e-05,-7.08070574173547e-05,-5.83753032632472e-05,-4.39493257236023e-05,-2.76995920174272e-05,-1.07240928386432e-05,1.07240928386432e-05,2.76995920174272e-05,4.39493257236023e-05,5.83753032632472e-05,7.08070574173547e-05,8.13760723161749e-05,9.03266289338234e-05,9.79197801918019e-05,0.000104392188701397,0.000109943805140844,0.000114738193975228,0.000118907311847494,0.000122557162073988,0.000125772977016325,0.000128623545574413,0.000131164679466167,0.000133441936837286,0.000135492744950838,0.000137348051486796,0.000139033610924599,0.000140570990254218,0.000141978358950468,0.000143271112863275,0.000144462369759069,0.000145563365226309,0.000146583770925801,0.000147531951801838,0.000148415175294403,0.00014923978234016,0.000150011327960442,0.000150734697445642,0.000151414202834488,0.000152053663413199,0.000152656473247248,0.00015322565799103,0.000153763923002259,0.000154273694134233,0.00015475715255775,0.000155216264545288,0.000155652807034556,0.000156068389694397,0.000156464473970885,0.00015684238963054,0.000157203349143487,0.000157548460245849
-359.583333333333,-0.000196935575305091,-0.000196504186430246,-0.000196052987035955,-0.000195580592464495,-0.000195085487119329,-0.000194566008790531,-0.000194020330679834,-0.000193446440697187,-0.000192842117666459,-0.000192204903751048,-0.000191532072488343,-0.000190820591557284,-0.000190067079268275,-0.000189267753540889,-0.000188418371809718,-0.000187514159948776,-0.00018654972792298,-0.000185518969118448,-0.000184414939752742,-0.000183229713657695,-0.000181954206535551,-0.000180577962197503,-0.000179088891078649,-0.000177472948683643,-0.000175713737815997,-0.000173792013661966,-0.000171685064362492,-0.000169365931188992,-0.000166802421043499,-0.000163955849334485,-0.000160779431961799,-0.000157216221268186,-0.000153196452595594,-0.000148634139812032,-0.000143422742464594,-0.000137429756431828,-0.00013049023587719,-0.000122399725242417,-0.000112908286157065,-0.000101720090398771,-8.85088217703611e-05,-7.29691290874968e-05,-5.49366571576115e-05,-3.46244900182313e-05,-1.34051160376458e-05,1.34051160376458e-05,3.46244900182313e-05,5.49366571576115e-05,7.29691290874968e-05,8.85088217703611e-05,0.000101720090398771,0.000112908286157065,0.000122399725242417,0.00013049023587719,0.000137429756431828,0.000143422742464594,0.000148634139812032,0.000153196452595594,0.000157216221268186,0.000160779431961799,0.000163955849334485,0.000166802421047052,0.000169365931190768,0.000171685064362492,0.000173792013661966,0.000175713737817773,0.00017747294868542,0.000179088891080426,0.000180577962197503,0.000181954206535551,0.000183229713657695,0.000184414939752742,0.000185518969118448,0.00018654972792298,0.000187514159950553,0.000188418371809718,0.000189267753540889,0.000190067079268275,0.000190820591557284,0.000191532072488343,0.000192204903751048,0.000192842117666459,0.000193446440697187,0.00019402033068161,0.000194566008792307,0.000195085487119329,0.000195580592460942,0.000196052987035955,0.000196504186430246,0.000196935575305091
-358.583333333333,-0.000236322690367885,-0.00023580502371523,-0.000235263584444922,-0.000234696710958104,-0.000234102584542484,-0.000233479210550058,-0.000232824396817932,-0.000232135728838401,-0.000231410541198684,-0.000230645884501612,-0.000229838486987433,-0.000228984709870872,-0.000228080495121574,-0.000227121304249067,-0.000226102046172016,-0.00022501699193711,-0.000223859673509352,-0.000222622762942493,-0.000221297927705422,-0.00021987565638959,-0.000218345047844792,-0.000216693554641267,-0.000214906669294024,-0.000212967538423925,-0.000210856485379551,-0.000208550416390452,-0.000206022077232859,-0.000203239117427145,-0.000200162905253265,-0.000196747019201027,-0.000192935318354515,-0.000188659465528929,-0.000183835743120753,-0.000178360967773017,-0.000172107290957513,-0.000164915707717483,-0.000156588283045878,-0.000146879670293032,-0.000135489943385636,-0.000122064108477815,-0.00010621058612692,-8.75629549064172e-05,-6.59239885933971e-05,-4.15493880350226e-05,-1.60861392419775e-05,1.60861392419775e-05,4.15493880350226e-05,6.59239885933971e-05,8.75629549064172e-05,0.00010621058612692,0.000122064108477815,0.000135489943385636,0.000146879670293032,0.000156588283045878,0.000164915707717483,0.000172107290957513,0.000178360967773017,0.000183835743120753,0.000188659465528929,0.000192935318354515,0.00019674701919925,0.000200162905256818,0.000203239117427145,0.000206022077232859,0.000208550416390452,0.000210856485381328,0.000212967538423925,0.0002149066692958,0.000216693554641267,0.000218345047844792,0.00021987565638959,0.000221297927705422,0.000222622762942493,0.000223859673507576,0.000225016991938887,0.000226102046172016,0.000227121304249067,0.000228080495121574,0.000228984709870872,0.000229838486987433,0.000230645884501612,0.000231410541198684,0.000232135728836624,0.000232824396817932,0.000233479210551835,0.000234102584542484,0.000234696710954552,0.000235263584444922,0.00023580502371523,0.000236322690367885
-357.583333333333,-0.000275709805428903,-0.00027510586100199,-0.000274474181848561,-0.000273812829448161,-0.000273119681963863,-0.000272392412309586,-0.000271628462954254,-0.000270825016976062,-0.000269978964734463,-0.000269086865252177,-0.000268144901486522,-0.000267148828179131,-0.00026609391097665,-0.000264974854959021,-0.000263785720532539,-0.000262519823930774,-0.000261169619093948,-0.000259726556768314,-0.000258180915654549,-0.000256521599123261,-0.000254735889148705,-0.000252809147077926,-0.000250724447509398,-0.000248462128160654,-0.000245999232944882,-0.000243308819124266,-0.000240359090105002,-0.000237112303667075,-0.000233523389461254,-0.000229538189067569,-0.000225091204750782,-0.000220102709779013,-0.000214475033637029,-0.000208087795734002,-0.000200791839453984,-0.000192401659003139,-0.000182686330225224,-0.0001713596153472,-0.000158071600619536,-0.000142408126565741,-0.000123912350474598,-0.000102156780723561,-7.69113200362881e-05,-4.84742860340504e-05,-1.87671624605201e-05,1.87671624605201e-05,4.84742860340504e-05,7.69113200362881e-05,0.000102156780723561,0.000123912350474598,0.000142408126565741,0.000158071600619536,0.0001713596153472,0.000182686330225224,0.000192401659003139,0.000200791839453984,0.000208087795734002,0.000214475033637029,0.000220102709779013,0.000225091204750782,0.000229538189067569,0.000233523389463031,0.000237112303667075,0.000240359090106779,0.000243308819124266,0.000245999232944882,0.000248462128160654,0.000250724447512951,0.000252809147077926,0.000254735889152258,0.000256521599125037,0.000258180915654549,0.000259726556768314,0.000261169619093948,0.000262519823930774,0.000263785720532539,0.000264974854959021,0.00026609391097665,0.000267148828179131,0.000268144901486522,0.000269086865252177,0.000269978964734463,0.000270825016976062,0.000271628462954254,0.000272392412309586,0.000273119681965639,0.000273812829446385,0.000274474181852113,0.00027510586100199,0.000275709805428903
-356.583333333333,-0.000315096920491698,-0.000314406698288749,-0.000313684779259304,-0.000312928947941771,-0.000312136779388794,-0.000311305614069113,-0.0003104325290888,-0.000309514305119052,-0.000308547388268465,-0.000307527846002742,-0.000306451315983836,-0.000305312946490943,-0.00030410732682995,-0.000302828405667199,-0.000301469394894838,-0.000300022655920884,-0.000298479564678544,-0.000296830350590582,-0.000295063903607229,-0.000293167541853379,-0.0002911267304615,-0.000288924739519913,-0.000286542225724773,-0.000283956717899159,-0.000281141980506661,-0.000278067221854528,-0.000274696102978922,-0.000270985489905229,-0.000266883873672796,-0.00026232935893411,-0.000257247091138169,-0.000251545954036203,-0.000245114324160411,-0.000237814623702093,-0.00022947638794335,-0.000219887610297675,-0.00020878437739924,-0.000195839560394262,-0.000180653257860541,-0.000162752144643008,-0.00014161411482938,-0.000116750606556693,-8.78986514702973e-05,-5.5399184027749e-05,-2.14481856666282e-05,2.14481856666282e-05,5.5399184027749e-05,8.78986514702973e-05,0.000116750606556693,0.00014161411482938,0.000162752144643008,0.000180653257860541,0.000195839560394262,0.00020878437739924,0.000219887610297675,0.00022947638794335,0.000237814623702093,0.000245114324160411,0.000251545954036203,0.000257247091138169,0.000262329358932334,0.000266883873674573,0.000270985489903453,0.000274696102980698,0.000278067221854528,0.000281141980508437,0.000283956717900935,0.000286542225726549,0.000288924739519913,0.000291126730459723,0.000293167541853379,0.000295063903607229,0.000296830350590582,0.000298479564678544,0.000300022655920884,0.000301469394894838,0.000302828405667199,0.00030410732682995,0.000305312946490943,0.000306451315983836,0.000307527846002742,0.000308547388268465,0.000309514305119052,0.000310432529090576,0.000311305614069113,0.000312136779388794,0.000312928947941771,0.000313684779261081,0.000314406698288749,0.000315096920491698
-355.583333333333,-0.000354484035552716,-0.000353707535571957,-0.000352895376666496,-0.000352045066433604,-0.000351153876811949,-0.000350218815825087,-0.000349236595226898,-0.000348203593256713,-0.000347115811800691,-0.000345968826753307,-0.000344757730481149,-0.000343477064802755,-0.00034212074268325,-0.000340681956375377,-0.000339153069258913,-0.000337525487909218,-0.000335789510264917,-0.000333934144414627,-0.000331946891556356,-0.000329813484583497,-0.000327517571767189,-0.000325040331960125,-0.000322360003941924,-0.000319451307634111,-0.000316284728070215,-0.000312825624586566,-0.000309033115849289,-0.000304858676143382,-0.000300244357880786,-0.000295120528797099,-0.00028940297753266,-0.00028298919828984,-0.000275753614680241,-0.000267541451661302,-0.000258160936436269,-0.000247373561578001,-0.000234882424567928,-0.000220319505441324,-0.000203234915087336,-0.000183096162729157,-0.000159315879182387,-0.000131344432368508,-9.88859828900956e-05,-6.23240820303295e-05,-2.4129208876289e-05,2.4129208876289e-05,6.23240820303295e-05,9.88859828900956e-05,0.000131344432368508,0.000159315879182387,0.000183096162729157,0.000203234915087336,0.000220319505441324,0.000234882424567928,0.000247373561578001,0.000258160936436269,0.000267541451661302,0.000275753614680241,0.00028298919828984,0.00028940297753266,0.000295120528797099,0.000300244357882562,0.000304858676143382,0.000309033115849289,0.000312825624586566,0.000316284728071992,0.000319451307634111,0.000322360003945477,0.000325040331960125,0.000327517571767189,0.000329813484585273,0.000331946891556356,0.000333934144414627,0.000335789510264917,0.000337525487910995,0.000339153069258913,0.000340681956375377,0.00034212074268325,0.000343477064802755,0.000344757730481149,0.000345968826753307,0.000347115811800691,0.000348203593256713,0.000349236595226898,0.00035021881582864,0.000351153876811949,0.000352045066431828,0.000352895376668272,0.000353707535571957,0.000354484035552716
