ox,u1_eq
-100000,-0.0175173061765938
-97752.808988764,-0.0179088095365916
-95505.6179775281,-0.0183179360041157
-93258.4269662921,-0.018745881798682
-91011.2359550562,-0.0191939516761798
-88764.0449438202,-0.0196635712164502
-86516.8539325843,-0.020156300765478
-84269.6629213483,-0.0206738512867282
-82022.4719101124,-0.0212181024189769
-79775.2808988764,-0.0217911230881459
-77528.0898876405,-0.0223951950792488
-75280.8988764045,-0.0230328400426526
-73033.7078651685,-0.0237068504874163
-70786.5168539326,-0.0244203254040707
-68539.3258426966,-0.0251767112596806
-66292.1348314607,-0.0259798492177535
-64044.9438202247,-0.0268340295502588
-61797.7528089888,-0.0277440543198601
-59550.5617977528,-0.0287153095006839
-57303.3707865169,-0.0297538477454649
-55056.1797752809,-0.0308664829430081
-52808.9887640449,-0.0320608974518226
-50561.797752809,-0.033345762288409
-48314.606741573,-0.0347308693279135
-46067.4157303371,-0.0362272722908697
-43820.2247191011,-0.037847429174125
-41573.0337078652,-0.0396053315178042
-39325.8426966292,-0.041516593204724
-37078.6516853933,-0.0435984493985783
-34831.4606741573,-0.0458695777867278
-32584.2696629213,-0.0483495872067009
-30337.0786516854,-0.0510579011211512
-28089.8876404494,-0.0540115561603878
-25842.6966292135,-0.0572210692415795
-23595.5056179775,-0.0606828771280441
-21348.3146067416,-0.0643657075159999
-19101.1235955056,-0.0681862605133453
-16853.9325842697,-0.0719663099232443
-14606.7415730337,-0.0753585273368872
-12359.5505617977,-0.0777234727622644
-10112.3595505618,-0.0779440480873241
-7865.16853932584,-0.074208756201897
-5617.97752808989,-0.0639695291851829
-3370.78651685393,-0.0446952342736722
-1123.59550561798,-0.0162668967431185
1123.59550561798,0.0162668967431185
3370.78651685393,0.0446952342736722
5617.97752808989,0.0639695291851829
7865.16853932584,0.074208756201897
10112.3595505618,0.0779440480873241
12359.5505617977,0.0777234727622644
14606.7415730337,0.0753585273368872
16853.9325842697,0.0719663099232443
19101.1235955056,0.0681862605133453
21348.3146067416,0.0643657075159999
23595.5056179775,0.0606828771280441
25842.6966292135,0.0572210692415795
28089.8876404494,0.0540115561603878
30337.0786516854,0.0510579011211512
32584.2696629213,0.0483495872067009
34831.4606741573,0.0458695777867277
37078.6516853933,0.0435984493985783
39325.8426966292,0.041516593204724
41573.0337078652,0.0396053315178042
43820.2247191011,0.037847429174125
46067.4157303371,0.0362272722908697
48314.606741573,0.0347308693279135
50561.797752809,0.033345762288409
52808.9887640449,0.0320608974518226
55056.1797752809,0.0308664829430081
57303.3707865168,0.0297538477454649
59550.5617977528,0.0287153095006839
61797.7528089888,0.0277440543198601
64044.9438202247,0.0268340295502588
66292.1348314607,0.0259798492177534
68539.3258426966,0.0251767112596806
70786.5168539326,0.0244203254040707
73033.7078651685,0.0237068504874163
75280.8988764045,0.0230328400426526
77528.0898876404,0.0223951950792488
79775.2808988764,0.0217911230881459
82022.4719101124,0.0212181024189769
84269.6629213483,0.0206738512867282
86516.8539325843,0.020156300765478
88764.0449438202,0.0196635712164502
91011.2359550562,0.0191939516761798
93258.4269662921,0.018745881798682
95505.6179775281,0.0183179360041157
97752.808988764,0.0179088095365916
100000,0.0175173061765938
