ox,u1_eq
-100000,-0.00569355063882277
-96610.1694915254,-0.00589259761247935
-93220.3389830509,-0.00610603736487874
-89830.5084745763,-0.00633548602503527
-86440.6779661017,-0.00658281049776106
-83050.8474576271,-0.00685017893649233
-79661.0169491525,-0.00714012388097724
-76271.186440678,-0.00745562191673672
-72881.3559322034,-0.00780019511151056
-69491.5254237288,-0.00817804147709105
-66101.6949152542,-0.0085942045867588
-62711.8644067797,-0.0090547967095625
-59322.0338983051,-0.00956729613866948
-55932.2033898305,-0.010140948990946
-52542.3728813559,-0.0107873206353602
-49152.5423728814,-0.0115210654719386
-45762.7118644068,-0.0123610219799395
-42372.8813559322,-0.0133318034696878
-38983.0508474576,-0.0144661635686185
-35593.2203389831,-0.0158086068314245
-32203.3898305085,-0.0174210631306746
-28813.5593220339,-0.0193920999207091
-25423.7288135593,-0.021852420270391
-22033.8983050847,-0.0250019287288713
-18644.0677966102,-0.0291586469952936
-15254.2372881356,-0.0348483593564291
-11864.406779661,-0.0429560936731561
-8474.57627118644,-0.0548210002020561
-5084.74576271187,-0.0703669588569932
-1694.91525423729,-0.0613043307895351
1694.91525423729,0.0613043307895351
5084.74576271187,0.0703669588569932
8474.57627118644,0.0548210002020561
11864.406779661,0.0429560936731561
15254.2372881356,0.0348483593564291
18644.0677966102,0.0291586469952936
22033.8983050847,0.0250019287288713
25423.7288135593,0.021852420270391
28813.5593220339,0.0193920999207091
32203.3898305085,0.0174210631306746
35593.2203389831,0.0158086068314245
38983.0508474576,0.0144661635686185
42372.8813559322,0.0133318034696878
45762.7118644068,0.0123610219799395
49152.5423728813,0.0115210654719386
52542.3728813559,0.0107873206353602
55932.2033898305,0.010140948990946
59322.0338983051,0.00956729613866948
62711.8644067797,0.0090547967095625
66101.6949152543,0.0085942045867588
69491.5254237288,0.00817804147709105
72881.3559322034,0.00780019511151056
76271.186440678,0.00745562191673672
79661.0169491525,0.00714012388097724
83050.8474576271,0.00685017893649233
86440.6779661017,0.00658281049776106
89830.5084745763,0.00633548602503527
93220.3389830508,0.00610603736487874
96610.1694915254,0.00589259761247935
100000,0.00569355063882277
