tvals,u1_1,u1_2,u1_3,u1_4,u1_5,u1_6,u1_7,u1_8,u1_9,u1_10,u1_11,u1_12,u1_13,u1_14,u1_15,u1_16,u1_17,u1_18,u1_19,u1_20,u1_21,u1_22,u1_23,u1_24,u1_25,u1_26,u1_27,u1_28,u1_29,u1_30,u1_31,u1_32,u1_33,u1_34,u1_35,u1_36,u1_37,u1_38,u1_39,u1_40,u1_41,u1_42,u1_43,u1_44,u1_45,u1_46,u1_47,u1_48,u1_49,u1_50,u1_51,u1_52,u1_53,u1_54,u1_55,u1_56,u1_57,u1_58,u1_59,u1_60
-729.166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-728.166666666667,-3.87433313022711e-05,-3.85901870680883e-05,-3.84262666512925e-05,-3.82504057148125e-05,-3.8061268307743e-05,-3.7857314536538e-05,-3.7636760796822e-05,-3.73975305008045e-05,-3.71371926259911e-05,-3.68528845173799e-05,-3.65412141505317e-05,-3.61981354766172e-05,-3.58187880546978e-05,-3.53972891096177e-05,-3.49264615975287e-05,-3.43974756793486e-05,-3.37993724617291e-05,-3.31184272122087e-05,-3.23372944031064e-05,-3.14338596680841e-05,-3.03797096101732e-05,-2.91381366306354e-05,-2.76616721777145e-05,-2.58894204820947e-05,-2.37452876827859e-05,-2.11404240291202e-05,-1.79889204767747e-05,-1.42605535815576e-05,-1.01379945736113e-05,-6.41668526224493e-06,6.41668526224493e-06,1.01379945736113e-05,1.42605535815576e-05,1.79889204767747e-05,2.11404240291202e-05,2.37452876827859e-05,2.58894204820947e-05,2.76616721777145e-05,2.91381366306354e-05,3.03797096101732e-05,3.14338596680841e-05,3.23372944048828e-05,3.31184272130969e-05,3.37993724617291e-05,3.43974756784604e-05,3.49264615975287e-05,3.53972891096177e-05,3.5818788055586e-05,3.6198135475729e-05,3.65412141514199e-05,3.68528845156035e-05,3.71371926259911e-05,3.73975305008045e-05,3.7636760796822e-05,3.7857314536538e-05,3.8061268307743e-05,3.82504057148125e-05,3.84262666512925e-05,3.85901870680883e-05,3.87433313022711e-05
-727.166666666667,-7.74866626054305e-05,-7.71803741370647e-05,-7.68525333025849e-05,-7.65008114296251e-05,-7.61225366154861e-05,-7.57146290739641e-05,-7.5273521593644e-05,-7.4795061001609e-05,-7.42743852528704e-05,-7.37057690329834e-05,-7.30824283019516e-05,-7.23962709541226e-05,-7.16375761093957e-05,-7.07945782201236e-05,-6.98529231941691e-05,-6.87949513595854e-05,-6.75987449234583e-05,-6.62368544253056e-05,-6.46745888062128e-05,-6.28677193361682e-05,-6.07594192212346e-05,-5.82762732603825e-05,-5.53233443554291e-05,-5.17788409633013e-05,-4.74905753664601e-05,-4.22808480617931e-05,-3.59778409526612e-05,-2.85211071631153e-05,-2.0275989154328e-05,-1.2833370525378e-05,1.2833370525378e-05,2.0275989154328e-05,2.85211071631153e-05,3.59778409526612e-05,4.22808480617931e-05,4.74905753664601e-05,5.17788409633013e-05,5.53233443554291e-05,5.82762732603825e-05,6.07594192212346e-05,6.28677193361682e-05,6.46745888062128e-05,6.62368544261938e-05,6.75987449234583e-05,6.8794951357809e-05,6.9852923193281e-05,7.07945782201236e-05,7.16375761093957e-05,7.23962709532344e-05,7.30824283019516e-05,7.37057690320952e-05,7.42743852528704e-05,7.4795061001609e-05,7.5273521593644e-05,7.57146290739641e-05,7.61225366154861e-05,7.65008114296251e-05,7.68525333025849e-05,7.71803741370647e-05,7.74866626054305e-05
-726.166666666667,-0.00011622999390859,-0.000115770561205153,-0.000115278799952989,-0.000114751217145326,-0.000114183804922341,-0.000113571943610502,-0.000112910282390466,-0.000112192591502414,-0.000111411577878862,-0.000110558653549475,-0.000109623642452483,-0.00010859440643074,-0.000107456364164094,-0.000106191867330629,-0.000104779384791698,-0.000103192427038046,-0.000101398117385187,-9.93552816384025e-05,-9.70118832093192e-05,-9.43015790042523e-05,-9.1139128832296e-05,-8.74144098910179e-05,-8.298501653492e-05,-7.76682614453961e-05,-7.1235863049246e-05,-6.34212720926897e-05,-5.39667614303241e-05,-4.27816607464493e-05,-3.04139837306039e-05,-1.92500557885111e-05,1.92500557885111e-05,3.04139837306039e-05,4.27816607464493e-05,5.39667614303241e-05,6.34212720926897e-05,7.1235863049246e-05,7.76682614453961e-05,8.298501653492e-05,8.74144098910179e-05,9.1139128832296e-05,9.43015790042523e-05,9.70118832102074e-05,9.93552816375143e-05,0.000101398117385187,0.000103192427037158,0.00010477938479081,0.000106191867330629,0.000107456364164982,0.000108594406429852,0.000109623642452483,0.000110558653548587,0.000111411577878862,0.000112192591502414,0.000112910282390466,0.000113571943610502,0.000114183804922341,0.000114751217144438,0.000115278799952989,0.000115770561205153,0.00011622999390859
-725.166666666667,-0.000154973325210861,-0.000154360748274129,-0.000153705066604282,-0.000153001622860138,-0.000152245073230972,-0.00015142925814704,-0.000150547043188176,-0.000149590122003218,-0.000148548770505741,-0.000147411538065967,-0.000146164856603015,-0.000144792541907357,-0.000143275152218791,-0.000141589156440247,-0.000139705846388338,-0.000137589902716506,-0.000135197489847805,-0.000132473708850611,-0.000129349177611537,-0.000125735438674113,-0.000121518838442469,-0.000116552546521653,-0.000110646688712635,-0.000103557681923938,-9.49811507338083e-05,-8.45616961235862e-05,-7.19556819088751e-05,-5.70422143280069e-05,-4.05519783095443e-05,-2.56667410472033e-05,2.56667410472033e-05,4.05519783095443e-05,5.70422143280069e-05,7.19556819088751e-05,8.45616961235862e-05,9.49811507338083e-05,0.000103557681923938,0.000110646688712635,0.000116552546521653,0.000121518838442469,0.000125735438674113,0.000129349177612426,0.000132473708850611,0.000135197489847805,0.000137589902716506,0.000139705846388338,0.000141589156440247,0.000143275152218791,0.000144792541905581,0.000146164856603015,0.000147411538065079,0.000148548770505741,0.000149590122003218,0.000150547043188176,0.00015142925814704,0.000152245073230972,0.00015300162285925,0.000153705066604282,0.000154360748274129,0.000154973325210861
-724.166666666667,-0.000193716656513132,-0.000192950935343106,-0.000192131333254686,-0.000191252028574951,-0.000190306341538715,-0.000189286572683578,-0.000188183803984998,-0.000186987652503134,-0.000185685963131732,-0.00018426442258157,-0.000182706070754435,-0.000180990677383086,-0.000179093940273489,-0.000176986445550753,-0.000174632307984979,-0.000171987378396743,-0.000168996862310422,-0.00016559213606282,-0.000161686472015532,-0.000157169298342197,-0.000151898548054419,-0.0001456906831514,-0.000138308360892125,-0.000129447102406921,-0.000118726438414818,-0.000105702120156259,-8.99446023847617e-05,-7.13027679104528e-05,-5.06899728858201e-05,-3.20834263076719e-05,3.20834263076719e-05,5.06899728858201e-05,7.13027679104528e-05,8.99446023847617e-05,0.000105702120156259,0.000118726438414818,0.000129447102406921,0.000138308360892125,0.0001456906831514,0.000151898548054419,0.000157169298342197,0.000161686472015532,0.00016559213606282,0.000168996862310422,0.000171987378395855,0.000174632307984979,0.000176986445550753,0.000179093940274377,0.000180990677382198,0.000182706070754435,0.000184264422580682,0.000185685963131732,0.000186987652503134,0.000188183803984998,0.000189286572683578,0.000190306341538715,0.000191252028574951,0.000192131333254686,0.000192950935343106,0.000193716656513132
-723.166666666667,-0.000232459987815403,-0.000231541122412082,-0.000230557599905978,-0.000229502434289763,-0.00022836760984557,-0.000227143887220116,-0.000225820564780932,-0.000224385183003939,-0.000222823155757723,-0.000221117307097174,-0.000219247284904078,-0.000217188812859703,-0.000214912728328187,-0.000212383734660371,-0.000209558769581619,-0.00020638485407698,-0.000202796234771263,-0.000198710563275917,-0.000194023766418638,-0.000188603158010281,-0.00018227825766548,-0.000174828819781148,-0.00016597003306984,-0.000155336522887239,-0.000142471726098492,-0.000126842544188044,-0.000107933522861536,-8.55633214928986e-05,-6.08279674612078e-05,-3.85001115752459e-05,3.85001115752459e-05,6.08279674612078e-05,8.55633214928986e-05,0.000107933522861536,0.000126842544188044,0.000142471726098492,0.000155336522887239,0.00016597003306984,0.000174828819781148,0.00018227825766548,0.000188603158010281,0.000194023766418638,0.000198710563275917,0.000202796234772151,0.000206384854076092,0.000209558769580731,0.000212383734660371,0.000214912728328187,0.000217188812858815,0.000219247284904078,0.000221117307096286,0.000222823155757723,0.000224385183003939,0.000225820564780932,0.000227143887220116,0.00022836760984557,0.000229502434289763,0.000230557599905978,0.000231541122412082,0.000232459987815403
-722.166666666667,-0.000271203319118563,-0.000270131309480171,-0.000268983866557271,-0.000267752840004576,-0.000266428878153313,-0.000265001201757542,-0.000263457325578642,-0.000261782713504743,-0.000259960348385491,-0.000257970191613666,-0.000255788499055498,-0.00025338694833632,-0.000250731516383773,-0.000247781023770877,-0.000244485231179148,-0.00024078232975544,-0.00023659560723388,-0.000231828990489014,-0.000226361060820857,-0.000220037017679253,-0.000212657967276542,-0.000203966956410895,-0.000193631705247554,-0.000181225943368446,-0.000166217013782166,-0.00014798296821894,-0.000125922443337423,-9.98238750744562e-05,-7.09659620410363e-05,-4.49167968410435e-05,4.49167968410435e-05,7.09659620410363e-05,9.98238750744562e-05,0.000125922443337423,0.00014798296821894,0.000166217013782166,0.000181225943368446,0.000193631705247554,0.000203966956410895,0.000212657967276542,0.000220037017679253,0.000226361060822633,0.000231828990489902,0.00023659560723388,0.000240782329754552,0.00024448523117826,0.000247781023770877,0.000250731516382885,0.000253386948335432,0.00025578849905461,0.000257970191612777,0.000259960348385491,0.000261782713504743,0.000263457325578642,0.000265001201757542,0.000266428878153313,0.000267752840004576,0.000268983866557271,0.000270131309480171,0.000271203319118563
-721.166666666667,-0.000309946650420834,-0.000308721496548259,-0.000307410133207675,-0.000306003245720277,-0.000304490146461056,-0.000302858516293192,-0.000301094086375464,-0.000299180244005548,-0.000297097541010594,-0.000294823076130157,-0.00029232971320603,-0.000289585083812938,-0.000286550304436695,-0.000283178312881383,-0.000279411692775788,-0.000275179805435677,-0.00027039497969561,-0.000264947417700334,-0.000258698355223963,-0.000251470877348225,-0.000243037676886715,-0.000233105093040642,-0.000221293377426157,-0.000207115363850541,-0.00018996230146584,-0.000169123392250725,-0.000143911363815086,-0.000114084428656902,-8.11039566208649e-05,-5.13334821006239e-05,5.13334821006239e-05,8.11039566208649e-05,0.000114084428656902,0.000143911363815086,0.000169123392250725,0.00018996230146584,0.000207115363850541,0.000221293377426157,0.000233105093040642,0.000243037676886715,0.000251470877348225,0.000258698355224851,0.000264947417701222,0.00027039497969561,0.000275179805433901,0.000279411692775788,0.000283178312881383,0.000286550304437583,0.00028958508381205,0.00029232971320603,0.000294823076129269,0.000297097541010594,0.000299180244005548,0.000301094086375464,0.000302858516293192,0.000304490146461056,0.000306003245720277,0.000307410133207675,0.000308721496548259,0.000309946650420834
-720.166666666667,-0.000348689981723993,-0.000347311683617235,-0.000345836399858968,-0.000344253651435089,-0.000342551414768799,-0.000340715830830618,-0.000338730847172286,-0.000336577774506353,-0.000334234733637473,-0.000331675960645761,-0.000328870927356562,-0.000325783219289555,-0.000322369092491392,-0.000318575601991888,-0.000314338154372429,-0.000309577281114137,-0.000304194352157339,-0.000298065844913431,-0.000291035649627958,-0.00028290473701631,-0.000273417386497776,-0.000262243229671277,-0.00024895504960476,-0.000233004784331747,-0.000213707589149514,-0.000190263816281622,-0.000161900284290972,-0.000128344982237572,-9.12419511953644e-05,-5.7750167358428e-05,5.7750167358428e-05,9.12419511953644e-05,0.000128344982237572,0.000161900284290972,0.000190263816281622,0.000213707589149514,0.000233004784331747,0.00024895504960476,0.000262243229671277,0.000273417386497776,0.00028290473701631,0.000291035649627958,0.000298065844914319,0.000304194352158227,0.000309577281113249,0.000314338154372429,0.000318575601991888,0.000322369092491392,0.000325783219288667,0.000328870927356562,0.000331675960645761,0.000334234733637473,0.000336577774506353,0.000338730847172286,0.000340715830830618,0.000342551414768799,0.000344253651434201,0.000345836399858968,0.000347311683617235,0.000348689981723993
