lon	lat	e_mm_day	n_mm_day	u_mm_day	hor_mm_day
  -1.0729430e+02   3.7983744e+01  -1.5284424e-01   3.6843549e-03  -1.8928281e-01   1.5288864e-01
  -1.0729432e+02   3.7984194e+01   9.5089437e-02  -1.8475039e-01  -5.4077176e-01   2.0778524e-01
  -1.0729433e+02   3.7984645e+01   1.3265318e-01  -2.3231417e-01  -5.3733783e-01   2.6751961e-01
  -1.0729434e+02   3.7985095e+01   1.8062452e-01  -2.4740612e-01  -5.6791512e-01   3.0632500e-01
  -1.0729436e+02   3.7985546e+01   1.9846760e-01  -2.4111076e-01  -5.4975625e-01   3.1228799e-01
  -1.0729437e+02   3.7985996e+01   3.2934834e-01  -1.6939202e-01  -6.1396521e-01   3.7035657e-01
  -1.0729439e+02   3.7986447e+01   2.0857955e-01  -8.8339599e-02  -6.2477402e-01   2.2651560e-01
  -1.0729440e+02   3.7986897e+01   1.5384898e-01  -1.7619443e-01  -6.6833880e-01   2.3391020e-01
  -1.0729441e+02   3.7987348e+01   1.3683450e-01  -1.3285037e-01  -4.1736759e-01   1.9071681e-01
  -1.0729443e+02   3.7987798e+01   2.4958778e-01  -2.2325246e-01  -8.0408428e-01   3.3486672e-01
  -1.0729444e+02   3.7988249e+01   2.5930950e-01  -1.7885755e-01  -6.6941963e-01   3.1501022e-01
  -1.0729446e+02   3.7988699e+01   2.8793335e-01  -2.3847365e-01  -7.2419870e-01   3.7386535e-01
  -1.0729451e+02   3.7990502e+01   2.3028205e-01  -2.2918162e-01  -6.1938243e-01   3.2489081e-01
  -1.0729462e+02   3.7994106e+01   2.0548856e-01  -2.0238996e-01  -7.7356082e-01   2.8842199e-01
  -1.0729366e+02   3.7981502e+01  -1.7555270e-01  -3.1806601e-03   2.8558101e-02   1.7558151e-01
  -1.0729367e+02   3.7981953e+01  -1.8888403e-01  -3.1093741e-02  -1.5670602e-01   1.9142622e-01
  -1.0729369e+02   3.7982403e+01  -1.9365972e-01  -4.4468627e-02  -1.5461751e-01   1.9869964e-01
  -1.0729370e+02   3.7982854e+01  -1.7048926e-01  -3.3628690e-02  -1.7371644e-02   1.7377421e-01
