ox,ue,uz
30000,-2.18315912065257,1.3748361538321
30070.0700700701,-2.18283262083278,1.37256422647663
30140.1401401401,-2.18249370992186,1.37028270850213
30210.2102102102,-2.18214246167299,1.36799162137646
30280.2802802803,-2.18177894950057,1.36569098654112
30350.3503503503,-2.1814032464835,1.36338082541253
30420.4204204204,-2.18101542536952,1.36106115938242
30490.4904904905,-2.18061555857759,1.35873200982005
30560.5605605606,-2.18020371820242,1.35639339807223
30630.6306306306,-2.17977997601695,1.35404534546556
30700.7007007007,-2.17934440347586,1.35168787330718
30770.7707707708,-2.17889707171885,1.34932100288559
30840.8408408408,-2.17843805157438,1.34694475547215
30910.9109109109,-2.17796741356191,1.34455915232241
30980.980980981,-2.17748522789584,1.34216421467672
31051.0510510511,-2.17699156448836,1.33975996376174
31121.1211211211,-2.17648649295266,1.33734642079132
31191.1911911912,-2.17597008260579,1.33492360696774
31261.2612612613,-2.17544240247206,1.33249154348258
31331.3313313313,-2.17490352128535,1.33005025151836
31401.4014014014,-2.17435350749304,1.32759975224881
31471.4714714715,-2.17379242925812,1.32514006684065
31541.5415415415,-2.17322035446279,1.32267121645393
31611.6116116116,-2.17263735071028,1.32019322224412
31681.6816816817,-2.17204348532908,1.31770610536187
31751.7517517518,-2.17143882537497,1.31520988695496
31821.8218218218,-2.17082343763317,1.31270458816927
31891.8918918919,-2.17019738862239,1.31019023014938
31961.961961962,-2.16956074459715,1.30766683403955
32032.032032032,-2.16891357154977,1.30513442098532
32102.1021021021,-2.16825593521388,1.30259301213385
32172.1721721722,-2.1675879010668,1.30004262863535
32242.2422422422,-2.16690953433148,1.29748329164402
32312.3123123123,-2.16622089998015,1.29491502231861
32382.3823823824,-2.16552206273655,1.29233784182373
32452.4524524525,-2.16481308707776,1.28975177133094
32522.5225225225,-2.1640940372376,1.28715683201926
32592.5925925926,-2.16336497720876,1.28455304507649
32662.6626626627,-2.16262597074476,1.28194043170005
32732.7327327327,-2.16187708136316,1.2793190130979
