x2long,u1_surf
-20000,-0.197592329190549
-19919.8396793587,-0.198216560782008
-19839.6793587174,-0.198844594328442
-19759.5190380762,-0.199476462759696
-19679.3587174349,-0.20011219935385
-19599.1983967936,-0.20075183774107
-19519.0380761523,-0.201395411907476
-19438.877755511,-0.202042956199051
-19358.7174348697,-0.202694505325552
-19278.5571142285,-0.203350094364477
-19198.3967935872,-0.204009758765026
-19118.2364729459,-0.204673534352107
-19038.0761523046,-0.205341457330347
-18957.9158316633,-0.206013564288138
-18877.755511022,-0.206689892201685
-18797.5951903808,-0.207370478439091
-18717.4348697395,-0.208055360764437
-18637.2745490982,-0.208744577341896
-18557.1142284569,-0.209438166739842
-18476.9539078156,-0.210136167934979
-18396.7935871744,-0.210838620316481
-18316.6332665331,-0.211545563690124
-18236.4729458918,-0.21225703828244
-18156.3126252505,-0.212973084744857
-18076.1523046092,-0.213693744157846
-17995.9919839679,-0.214419058035063
-17915.8316633267,-0.215149068327477
-17835.6713426854,-0.215883817427498
-17755.5110220441,-0.216623348173081
-17675.3507014028,-0.217367703851821
-17595.1903807615,-0.218116928205023
-17515.0300601202,-0.218871065431741
-17434.869739479,-0.219630160192798
-17354.7094188377,-0.220394257614768
-17274.5490981964,-0.221163403293911
-17194.3887775551,-0.221937643300074
-17114.2284569138,-0.222717024180542
-17034.0681362725,-0.223501592963823
-16953.9078156313,-0.224291397163384
-16873.74749499,-0.225086484781315
-16793.5871743487,-0.225886904311913
-16713.4268537074,-0.226692704745192
-16633.2665330661,-0.227503935570299
-16553.1062124248,-0.228320646778831
-16472.9458917836,-0.229142888868058
-16392.7855711423,-0.229970712844008
-16312.625250501,-0.230804170224451
-16232.4649298597,-0.231643313041737
-16152.3046092184,-0.232488193845488
-16072.1442885772,-0.233338865705139
-15991.9839679359,-0.234195382212305
-15911.8236472946,-0.235057797482975
-15831.6633266533,-0.235926166159504
-15751.503006012,-0.236800543412403
-15671.3426853707,-0.237680984941902
-15591.1823647295,-0.238567546979281
-15511.0220440882,-0.23946028628794
-15430.8617234469,-0.240359260164199
-15350.7014028056,-0.241264526437817
-15270.5410821643,-0.242176143472183
