x2long,u1_surf
-20000,-0.307485311286264
-19919.8396793587,-0.308639491482412
-19839.6793587174,-0.309802052527556
-19759.5190380762,-0.310973082283506
-19679.3587174349,-0.312152669783523
-19599.1983967936,-0.313340905250634
-19519.0380761523,-0.314537880116241
-19438.877755511,-0.315743687039061
-19358.7174348697,-0.31695841992438
-19278.5571142285,-0.318182173943631
-19198.3967935872,-0.319415045554307
-19118.2364729459,-0.320657132520209
-19038.0761523046,-0.321908533932033
-18957.9158316633,-0.323169350228313
-18877.755511022,-0.324439683216702
-18797.5951903808,-0.325719636095623
-18717.4348697395,-0.327009313476277
-18637.2745490982,-0.32830882140502
-18557.1142284569,-0.329618267386117
-18476.9539078156,-0.33093776040487
-18396.7935871744,-0.332267410951136
-18316.6332665331,-0.333607331043231
-18236.4729458918,-0.334957634252233
-18156.3126252505,-0.336318435726681
-18076.1523046092,-0.33768985221769
-17995.9919839679,-0.339072002104464
-17915.8316633267,-0.340465005420239
-17835.6713426854,-0.341868983878639
-17755.5110220441,-0.343284060900466
-17675.3507014028,-0.344710361640918
-17595.1903807615,-0.346148013017248
-17515.0300601202,-0.347597143736862
-17434.869739479,-0.349057884325869
-17354.7094188377,-0.350530367158078
-17274.5490981964,-0.352014726484457
-17194.3887775551,-0.353511098463049
-17114.2284569138,-0.355019621189354
-17034.0681362725,-0.356540434727185
-16953.9078156313,-0.35807368113999
-16873.74749499,-0.359619504522657
-16793.5871743487,-0.361178051033792
-16713.4268537074,-0.362749468928494
-16633.2665330661,-0.364333908591597
-16553.1062124248,-0.365931522571418
-16472.9458917836,-0.367542465613983
-16392.7855711423,-0.369166894697752
-16312.625250501,-0.370804969068837
-16232.4649298597,-0.372456850276708
-16152.3046092184,-0.3741227022104
-16072.1442885772,-0.375802691135213
-15991.9839679359,-0.377496985729901
-15911.8236472946,-0.379205757124354
-15831.6633266533,-0.380929178937774
-15751.503006012,-0.382667427317328
-15671.3426853707,-0.384420680977294
-15591.1823647295,-0.386189121238674
-15511.0220440882,-0.387972932069286
-15430.8617234469,-0.389772300124319
-15350.7014028056,-0.39158741478735
-15270.5410821643,-0.393418468211798
-15190.380761523,-0.395265655362834
-15110.2204408818,-0.3971291740597
-15030.0601202405,-0.399009225018462
-14949.8997995992,-0.400906011895144
-14869.7394789579,-0.402819741329262
-14789.5791583166,-0.404750622987714
-14709.4188376754,-0.406698869609024
-14629.2585170341,-0.408664697047908
-14549.0981963928,-0.410648324320145
-14468.9378757515,-0.412649973647718
-14388.7775551102,-0.414669870504212
-14308.6172344689,-0.416708243660421
-14228.4569138277,-0.418765325230142
-14148.2965931864,-0.420841350716115
-14068.1362725451,-0.422936559056068
-13987.9759519038,-0.425051192668832
-13907.8156312625,-0.427185497500464
-13827.6553106212,-0.429339723070344
-13747.49498998,-0.43151412251718
-13667.3346693387,-0.433708952644869
-13587.1743486974,-0.435924473968148
-13507.0140280561,-0.43816095075796
-13426.8537074148,-0.440418651086476
-13346.6933867735,-0.442697846871682
-13266.5330661323,-0.444998813921443
-13186.372745491,-0.447321831976973
-13106.2124248497,-0.44966718475558
-13026.0521042084,-0.452035159992613
-12945.8917835671,-0.454426049482472
-12865.7314629259,-0.456840149118583
-12785.5711422846,-0.459277758932179
-12705.4108216433,-0.461739183129781
-12625.250501002,-0.464224730129196
-12545.0901803607,-0.466734712593903
-12464.9298597194,-0.469269447465629
-12384.7695390782,-0.471829255994949
-12304.6092184369,-0.474414463769712
-12224.4488977956,-0.477025400741073
-12144.2885771543,-0.479662401246916
-12064.128256513,-0.482325804032432
-11983.9679358717,-0.485015952267583
-11903.8076152305,-0.487733193561193
-11823.6472945892,-0.490477879971358
-11743.4869739479,-0.493250368011884
-11663.3266533066,-0.496051018654395
-11583.1663326653,-0.498880197325783
-11503.006012024,-0.501738273900587
-11422.8456913828,-0.504625622687934
-11342.6853707415,-0.507542622412575
-11262.5250501002,-0.510489656189574
-11182.3647294589,-0.513467111492152
-11102.2044088176,-0.51647538011216
-11022.0440881764,-0.519514858112623
-10941.8837675351,-0.522585945771745
-10861.7234468938,-0.525689047517755
-10781.5631262525,-0.528824571853893
-10701.4028056112,-0.53199293127283
-10621.2424849699,-0.535194542159719
-10541.0821643287,-0.538429824683081
-10460.9218436874,-0.541699202672615
-10380.7615230461,-0.545003103483013
-10300.6012024048,-0.548341957842753
-10220.4408817635,-0.55171619968682
-10140.2805611222,-0.555126265972198
-10060.120240481,-0.558572596474905
-9979.95991983968,-0.562055633567298
-9899.7995991984,-0.565575821974216
-9819.63927855711,-0.56913360850652
-9739.47895791583,-0.572729441770411
-9659.31863727455,-0.57636377185086
