Slip_Sense	Strand	Pt_Identif	Scarp_Face_Dir	Local_Width_m	H_Offset_cm	H_Uncert_cm	V_Separ_cm	V_Uncert_cm	Northing	Easting	Distance_m	Compiler_Notes
2	21	15	1	NaN	35	NaN	5.5	0.5	3946880.5	453236.4375	11783.95428	Arc C1; B. Olson; STOB-40; includes addtional 5cm of LL
2	24	74	NaN	1	2.5	0.5	NaN	NaN	3948411.5	451581.5938	11829.98832	DRI S. Bacon
2	21	14	2	NaN	29	8	2.5	0.5	3946963.5	453269.1563	11867.69486	Arc C1; B. Olson; STOB-38. Midpoint and range of two meas: 24 cm +/-3 cm and 34 cm +/- 3 cm
2	21	16	2	NaN	26	4	4	NaN	3947018.5	453318.6563	11941.75529	"Arc C1; B. Olson; uncert as 5 cm, but used midpoint and range"
3	21	17	2	NaN	NaN	NaN	20	NaN	3947084.25	453365.375	12022.0511	Arc C1; B. Olson; R. Gold notes
2	21	13	2	0.5	13	3	12.5	2.5	3947171.25	453411.0938	12117.34118	R. gold gps wpt 525
2	24	75	2	NaN	11	NaN	2.5	0.5	3948655.5	451839.0938	12183.45819	H from Arc C1 B. Olson; V from DRI-151 
2	21	12	NaN	16	17	2	NaN	NaN	3947414.75	453484.125	12347.93253	R. gold gps wpt 522
2	21	11	NaN	NaN	7	2	NaN	NaN	3947654.75	453830.9375	12757.67168	"Arc C1; A. Morelan; LL graben with cm scale (7cm, LL) +/- 2cm on one strand (N). 10m wide zone trending 009, N9E. "
2	21	10	NaN	NaN	5	NaN	NaN	NaN	3947831	453944.3125	12964.81934	"Arc C1; A. Morelan; LL, dominantly expressed as a fissure. 5cm LL minimum based on crack edge offset. "
2	23	76	2	15	28	3	2	NaN	3949127.25	452595.4375	13038.52839	Kendrick gps
2	22	64	2	NaN	7	1	2	0.5	3948363.25	454079.4375	13452.43244	Arc C3b; B. Olson
2	22	65	NaN	NaN	1.5	NaN	NaN	NaN	3948501	453963.1563	13478.20323	Arc C3b; B. Olson
2	23	77	2	NaN	30.5	5	5	NaN	3949541.75	452939.2813	13576.73163	Arc C2; J. Hernandez
2	22	66	NaN	15	3.5	1	NaN	NaN	3948660.5	454132.7188	13710.15829	Arc C3b; B. Olson
2	21	9	NaN	8	5	NaN	NaN	NaN	3948528.5	454297.5625	13720.82989	Arc C3b; B. Swanson; 8 m wide right stepping zone with most slip concentrated on 2 cracks near west margin. estimate 5+ cm of LL displacement of old dirt road berm.
2	23	78	NaN	NaN	2	NaN	NaN	NaN	3949706.5	453119.2188	13819.44244	Arc C2; J. Hernandez
2	22	67	NaN	NaN	2.25	2.25	NaN	NaN	3948774.75	454196.5	13837.91123	"Arc C3b; B. Olson; reported as 2 +/- 2.5 cm, 4.5 cm total minmium LL"
2	21	8	NaN	6	10	NaN	NaN	NaN	3948634.75	454375.8438	13852.28052	Arc C1; A. Morelan; fault zone width 6m. 10cm minimum offset due to rotation of road.
2	21	6	NaN	1	8.5	1	NaN	NaN	3948718.5	454405.1563	13934.45186	Arc C3b; B. Olson; summed 7 and 1.5 cm meas
2	21	7	NaN	NaN	13	3	NaN	NaN	3948764.75	454434.1563	13988.1847	Arc C3b; K. Kendrick; summed 8 +/- 3 cm and 5 cm meas
2	21	5	NaN	NaN	3	NaN	NaN	NaN	3948981.75	454784.0625	14382.76063	Arc C3b; B. Swanson
3	22	70	2	NaN	NaN	NaN	7	1	3949390.25	454574.5625	14549.23669	Arc C3b; B. Olson
2	23	79	NaN	NaN	17	3	NaN	NaN	3950330.25	453611	14612.35724	Arc C2; J. Hernandez + R. Gold notes
2	22	69	NaN	NaN	2.5	0.5	NaN	NaN	3949566.75	454700.2188	14764.67615	Arc C3b; B. Olson
2	23	80	2	NaN	11	2	6	NaN	3950451	453713.2813	14770.58053	Arc C2; J. Hernandez
2	22	68	NaN	NaN	2.5	0.5	NaN	NaN	3949614.25	454719.8125	14813.09954	Arc C3b; B. Olson
2	21	4	NaN	0.5	1.5	NaN	NaN	NaN	3949496.75	455157.6563	15016.05901	Arc C3b; B. Swanson
2	21	3	NaN	NaN	1.5	0.5	NaN	NaN	3949814	455326.8438	15365.58589	Arc C3b; F. Valencia
2	21	1	NaN	1.5	2.5	NaN	NaN	NaN	3949899.5	455428	15496.66318	Arc C3b; distinct minor fault in 1.5 m wide right stepping enechelon zone shows 2.5 cm LL slip on N43E slip vector.
2	21	2	NaN	NaN	0	NaN	0	NaN	3949975	455480.1875	15587.80917	Arc C3b; 2-m wide zone of cracks
2	23	81	2	NaN	15	15	5	5	3951259.25	454875.0313	16146.17155	"Arc C2; B. Swanson, revisited by K. Thomas. Midpoint/range of total H and V displ used because of uncetainty in whether disp could be related to landslide"
2	23	82	NaN	NaN	0	NaN	0	NaN	3952427.5	455599.4688	17500.87934	NE terminus based on J. Hernandez wpt 058
