Slip_Sense	Strand	Pt_Identif	Scarp_Face_Dir	Local_Width_m	H_Offset_cm	H_Uncert_cm	V_Separ_cm	V_Uncert_cm	Northing	Easting	Distance_m	Compiler_Notes
1	11	449	NaN	NaN	19	3	NaN	NaN	3939375.75	461679.25	44360.39083	S. Akciz
2	2	90	2	NaN	20	4	2.5	0.5	3971691.75	436495.3125	3419.934525	RyanGold_07172019 -pt 363
1	1	187	1	NaN	20	5	3	2	3964922	442847.7188	12690.04086	Arc C2; G. Seitz and R. Gold wpt 600
2	1	221	1	20	20	5	5	2	3966415	440703.0313	10166.45173	R. Gold wpt 626. Width from Rgold and C. DuRoss GPS pts
2	2	208	2	NaN	20	4	6	NaN	3971637.25	436453.7813	3434.803142	R. Gold wpt 362
3	5	180	2	NaN	20	2	31	2	3957778.75	444372.6875	19135.74621	Arc C2; S. Bennett. H is LL
3	3	147	2	NaN	20	NaN	50	NaN	3962591	441775.4063	13781.90405	Olson_Additional_Mapping_Points -pm 1. H is RL
1	99	305	NaN	NaN	20	10	NaN	NaN	3953967.5	449146.5938	25126.34302	Arc C1; Nag29
1	11	120	NaN	NaN	20	NaN	NaN	NaN	3939094	461914.3438	44727.24357	RyanGold wpt 255
1	11	119	NaN	NaN	20	1	NaN	NaN	3938578.75	462259.0938	45343.55081	July6_jtj stop 2
1	1	48	NaN	3	20	3	NaN	NaN	3937411	465446	48289.82254	USC_AlexHatem pm 21
1	9	306	NaN	NaN	24.5	NaN	9	NaN	3954275.5	449671.2188	25228.63761	Arc C2 J. Hernandez. H is sum of two meas 8.5 and 16 cm
1	1	319	NaN	5	25	5	0	NaN	3945423.25	456023.8125	36091.77345	R. Gold wpt 457
1	1	322	2	60	25	10	10	5	3945026.25	456446.25	36667.45807	Arc C2; T. Ladinsky; width from GPS
2	1	98	NaN	NaN	25	NaN	NaN	NaN	3966752	440303.4688	9651.221231	RyanGold_07172019
2	1	220	NaN	5	25	5	NaN	NaN	3966222	440438.2813	10143.46209	July8am_jtj -stop 20
1	1	327	NaN	NaN	25	10	NaN	NaN	3944661.25	456774.3438	37158.05248	Arc C1 7.1-010 B. Swanson
1	1	44	NaN	NaN	25	5	NaN	NaN	3942884.75	460428.9063	40871.07472	Arc C1 PB1025
1	11	447	NaN	NaN	25	5	NaN	NaN	3938918	462021.625	44931.12644	S. Akciz
1	1	38	1	110	28	5	7	2	3944726.5	456680.8125	37047.77067	Arc C1 7.1-011 B. Swanson; width from GPS
2	2	212	2	NaN	28	3	15	5	3969472.25	438790.4063	6596.020239	Arc C1; Nag50 + C. DuRoss wpt 431
1	1	13	1	10	29	5	8	5	3964866.75	442867.1875	12744.69609	Arc C2; G. Seitz and R. Gold wpt 601
3	1	433	2	NaN	29	4	NaN	NaN	3944758	456648.1875	37002.80569	S. Akciz
1	1	110	NaN	1	30	7	0	NaN	3945546	455870.6563	35899.20547	Arc C1; Jrp 08
1	7	426	NaN	NaN	30	5	5	5	3956948.25	447311.7188	21664.30284	K. Kendrick gps
2	1	8	1	15	30	10	8	3	3966343.25	440627.6563	10172.69967	Arc C2; C. DuRoss
1	3	145	NaN	NaN	30	NaN	NaN	NaN	3964312	441356.9063	12196.04149	Arc C1 20190711_001es
1	8	162	1	NaN	30	5	NaN	NaN	3956237	446886.2188	21934.22361	Arc C2; J. Hernandez
1	1	317	NaN	0.25	30	5	NaN	NaN	3945612.75	455799.0938	35801.92749	R. Gold wpt 461
1	1	383	NaN	NaN	30	5	NaN	NaN	3944029.5	457304.375	37982.65467	Arc C2; B. Swanson
1	1	382	NaN	NaN	30	NaN	NaN	NaN	3943942.75	457356.3125	38082.34458	Arc C2; B. Swanson
1	1	441	NaN	NaN	30	10	NaN	NaN	3942407.5	460998.0313	41602.72619	S. Akciz
1	1	446	NaN	NaN	30	NaN	NaN	NaN	3938624.25	464088.5625	46487.27934	S. Akciz
1	11	371	NaN	NaN	30.5	3.5	NaN	NaN	3938276.5	462470.8125	45711.16806	Sinan_Akciz pm 167
1	7	301	NaN	NaN	32	6	NaN	NaN	3955952.5	448191.0938	22992.40524	Arc C2; ES008 + C. DuRoss wpt 415 summed
1	1	252	2	NaN	32	NaN	NaN	NaN	3948970.75	452168.4375	30894.65257	Arc C1; M. DeFrisco wpt 113
1	1	440	NaN	NaN	32	3	NaN	NaN	3942471.25	460928.6563	41509.26901	S. Akciz
1	11	376	NaN	NaN	32.5	7.5	0	NaN	3938562.75	462266.2188	45360.32143	Sinan_Akciz pm 149
1	8	171	2	0.4	34	5	2	2	3954791.5	448164.125	23863.06662	Arc C2; C. DuRoss
1	1	39	NaN	NaN	35	20	0	NaN	3944528.75	456965.5625	37382.58274	H is midoint/range from Arc C2 T. Ladinsky (23 +/- 8 cm) and PGE points (46 +/- 20%/9 cm)
1	1	12	1	10	35	15	2	1	3965204.75	442364.0938	12162.09144	"Arc C2; G. Seitz. H range based on R. Gold wpt 617 (30 +/- 10 cm RL) and G. Seitz (30 +/- 10 cm, as much as 50 cm total RL)"
3	2	214	2	NaN	35	5	55	5	3969617	438921.5625	6569.824684	C. DuRoss wpt 450. H is LL
3	1	431	2	NaN	35	5	NaN	NaN	3944810.25	456603.5	36934.06308	S. Akciz
1	2	88	NaN	NaN	36	5	20	5	3970430.25	438006.9688	5358.477686	Arc C1; Nag 51 + C. DuRoss notes on V
2	2	87	2	NaN	36	5	22	3	3969519.5	438869.3438	6610.623967	Arc C1; N. Graehl pts Nag 55-57. Uncert in quadr
1	8	166	NaN	NaN	36	NaN	NaN	NaN	3955511.5	447506.0938	22888.48656	Arc C2; J. Hernandez.
1	11	372	NaN	NaN	36	4	NaN	NaN	3938296	462465.4688	45692.70643	Sinan_Akciz pm 161; 2 meas summed; uncert in quadr
1	9	54	2	2	37	5	2	1	3954123.5	449824.3125	25443.46039	Arc C2; B. Swanson. 
1	99	240	1	2	38	5	34	5	3955566.5	446784.7188	22381.6701	Arc C2; T. Dawson
3	1	432	2	NaN	38	5	NaN	NaN	3944784.75	456631.1875	36971.38125	S. Akciz
1	1	254	2	50	39.5	6.9000001	17.5	NaN	3948485.75	452721.4375	31621.86317	"Arc C1; MDFricsco wpt 126 (32 +/- 6.4cm-20% assumed) on E strand, combined with arc C3b; B. Swanson: 7.5 +/- 2.5 cm on W strand"
1	7	61	NaN	NaN	40	10	0	NaN	3957059.25	447236.0625	21530.75338	Arc C2 T. Dawson
1	7	60	NaN	NaN	40	3	2	NaN	3956185	447947.0313	22657.35785	Arc C2; J. Hernandez
1	1	335	NaN	6	40	10	5	NaN	3938223.5	464593.9063	47119.34244	USC_AlexHatem pt 6
1	1	338	2	NaN	40	8	12	4	3937788.5	465059.2188	47751.85633	USC_AlexHatem pt 13
1	8	419	1	NaN	42	5	13	2	3955287	447656.3125	23156.95121	K. Kendrick gps
1	1	49	2	0.7	42	10	20	5	3946266.5	455109.5938	34857.75215	RyanGold_07172019 -wpt 509. 
1	1	329	NaN	NaN	42	5	NaN	NaN	3943873	458839.8438	39091.44833	Arc C1 PB1021
1	8	418	NaN	NaN	44	2	0	NaN	3955703.75	447355.5938	22644.49619	K. Kendrick gps
1	1	413	1	NaN	44	2	20	2	3948187.75	453104.7188	32096.65053	"Arc C3b; B. Swanson; reported summed value; unclear if includes separte, minor RL disp to west along road"
1	8	163	NaN	30	45	5	NaN	NaN	3955928.25	447150.8438	22340.89133	Arc C2; J. Hernandez
1	1	43	NaN	NaN	45	10	NaN	NaN	3943724.5	459171.9375	39418.9806	Arc C1 PB1022
1	1	321	2	28	46	8	10	NaN	3945060.75	456417.75	36622.64324	Arc C1; B. Swanson; width from GPS
1	8	57	NaN	1.3	49	20	0	NaN	3954875.25	448066	23735.75344	Arc C2; C. DuRoss
1	1	366	2	NaN	50	15	5	NaN	3937226.25	465775.4063	48643.30488	Sinan_Akciz pm 20
1	8	167	2	NaN	50	15	8	2	3955236.25	447699.2813	23223.38545	Arc C1; BO101. West facing direction based on fault dip of 73deg W
1	1	190	NaN	40	50	10	NaN	NaN	3965536.25	442170.25	11783.80998	C. DuRoss_obs_July23-25. Total width based on GPS
1	1	113	NaN	NaN	50	5	NaN	NaN	3939025.5	463723.375	45945.08026	"R. Gold wpt 357railroad, uncert encompasses July6_jtj stop 7"
1	1	314	2	NaN	51	30	20	10	3947652	453657.875	32862.79665	R. Gold wpt 520
1	9	51	NaN	0.1	52	5	0	1	3952593.75	451607.5625	27762.34225	Arc C2; B. Swanson + RDG notes
1	1	0	1	20	52	20	30.5	14	3968009.25	439329.8438	8062.403489	"Arc C1; Jrp 13. V based on Jrp 13 and RDG notes (36+/-10cm DTE) - average of both, uncert in quadr"
1	7	102	NaN	NaN	52	4	NaN	NaN	3956675.75	447558.0625	22031.5423	Arc C2; J. Hernandez
1	8	165	NaN	NaN	53	NaN	NaN	NaN	3955713.25	447347.3125	22631.90854	Arc C2; J. Hernandez.
1	1	4	1	150	54	2	30	5	3967458.25	439737.0313	8746.191316	"Combined from two strands: W strand Arc C1; MD011 (34cm DTE, no H), E strand July8am_jtj -stop5 (54+/-2 cm RL, 3-5cm DTW); uncert is compiler judgement; Width meas from GPS pts"
1	1	361	NaN	NaN	55	5	6.5	1.5	3938785.75	463907.7813	46247.32995	Sinan_Akciz pm 114
1	1	328	1	120	55	3	7	NaN	3944616.75	456834.25	37230.56495	"Arc C1 7.1-008 and 028, Arc C2 T. Ladinsky; V summed; width from GPS"
1	1	45	2	NaN	55	5	27.5	2.5	3941574.75	461651.25	42660.42911	Sinan_Akciz pm 92
1	1	72	2	25	55	NaN	70	NaN	3960152.25	444947.5625	17690.78417	July9_jtj stop 13; Questionable pt; unclear if H sums 2 strands; width from July9_jtj GPS 
1	1	414	NaN	10	55	10	NaN	NaN	3948046	453200.125	32266.57479	Arc C3b; B. Olson
1	1	35	NaN	20	55	10	NaN	NaN	3946009.25	455517.0313	35317.02129	"Arc C1; Jrp 09. H is minimum, additional strand to E not measured"
1	99	241	NaN	2	57	10	0	5	3955451	446844.4688	22508.58217	Arc C2; T. Dawson
1	1	73	1	15	58	10	NaN	NaN	3959989	445051.4688	17882.68302	Width from July9_jtj point stop 8
1	1	334	2	15	60	7	10	NaN	3938635.5	464045.4688	46450.98997	USC_Points wpt 14. Uncert in quadr; width from GPS
1	1	324	2	120	60	10	30	8	3944855.75	456571.5938	36878.54369	Arc C 7.1-015 -B. Swanson; width from GPS
1	1	320	NaN	5	60	5	NaN	NaN	3945372.5	456094	36175.68106	R. Gold wpt 458
1	9	428	NaN	NaN	61	NaN	NaN	NaN	3955408.25	448193.0625	23410.06066	K. Kendrick gps
1	1	2	1	12	65	24	17	5	3967721.25	439513.625	8401.011568	Arc C1; Jrp 11 + RDG notes
1	9	429	NaN	NaN	65	NaN	NaN	NaN	3954998	448822.7813	24129.52509	K. Kendrick gps
1	8	170	2	2	66	15	3	2	3954943.5	448001.9063	23642.28256	Arc C2; C. DuRoss
3	1	312	2	NaN	67	NaN	25	5	3947793.75	453469.5313	32633.1746	Arc C1; 12-5. H from SV_SL field
1	1	358	NaN	NaN	67.5	7.5	NaN	NaN	3939907.75	463154.2813	44903.67429	Sinan_Akciz pm 40
1	9	308	2	54	68	5	20	5	3953695	450258.3438	26050.82571	Arc C2; J. Hernandez + RDG notes. Width from GPS
