Slip_Sense	Strand	Pt_Identif	Scarp_Face_Dir	Local_Width_m	H_Offset_cm	H_Uncert_cm	V_Separ_cm	V_Uncert_cm	Northing	Easting	Distance_m	Compiler_Notes
3	2	391	NaN	NaN	0	NaN	0	NaN	3976326.75	436881.5938	123.6499198	Arc C3b; T. Dawson. NW most surface rupture
3	1	189	NaN	NaN	0	NaN	0	NaN	3965939.25	441848.75	11268.39845	Northern terminus of rupture based on R. Gold and C. DuRoss GPS points
3	4	238	NaN	NaN	0	NaN	0	NaN	3958141	440882.2813	16610.06769	Arc C2; S. Bennett. Southern termination of fault
1	11	121	NaN	NaN	0	0	0	0	3935326	464311.7813	49153.78331	"SE rupture termination from K. Scharer, baed on Miliner_Zinke pm 442"
1	1	117	NaN	NaN	0	0	0	0	3936418.25	466410.3125	49670.37289	SE termination pt from K. Scharer
3	4	155	2	NaN	0	0.5	8	1	3959818.5	440573.875	15128.3285	Arc C2; S. Bennett
3	4	161	2	NaN	0	0.5	11	0.5	3958462	440857.2188	16348.36619	Arc C2; S. Bennett.
3	4	160	2	4	0	0.5	12	0.5	3958642.5	440806.8438	16178.04266	Arc C2; S. Bennett. Scarp facing direction estimated from meas to N and S
3	2	96	2	35	0	2	15	3	3973913.75	435642.4375	1171.008175	Arc C2; E. Spangler
3	2	201	2	NaN	0	NaN	16	NaN	3972993.5	436594.5938	2488.234553	R. Gold wpt 379
3	5	175	2	NaN	0	0.5	17	0.5	3957046.75	444336.6875	19672.47541	Arc C2; B. Swanson
3	1	227	2	300	0	NaN	17.5	14	3964127.25	443361.125	13628.61975	"Arc C2; C. DuRoss. Diff of W and E strands. E strand 29.5 +/- 13.5 cm = midpt of 21 +/- 5 cm and 36 +/- 7 cm DTW. E strand 12 +/- 3 DTE;  V is diff, uncert in quadr; width from GPS"
3	6	135	NaN	NaN	0	10	19	10	3959532.5	445354.125	18426.79376	Arc C1;  Nag19; H from K. Kendrick gps; RL assumed based on fault azim
3	2	200	NaN	NaN	0	NaN	25	NaN	3973057.75	436615.8125	2452.73587	R. Gold wpt 381
3	4	159	2	NaN	0.5	0.5	5	0.5	3958852.75	440768.1563	15992.20663	Arc C2; S. Bennett. H is LL.
3	4	451	2	NaN	0.5	0.5	5	NaN	3958792	440769.4375	16039.52725	K. Kendrick gps
1	10	349	NaN	NaN	0.5	NaN	NaN	NaN	3936176.5	460555.7813	46083.5147	Arc C1; PB2010
2	2	192	NaN	35	1	2	0	1	3975057.75	436542.0625	875.4747046	"Arc C2; E. Spangler + R. Gold wpts 661, 6631. Width from GPS pts"
3	2	196	2	1.2	1	1	6	5	3974270.25	435779.7813	986.6893301	Arc C2; E. Spangler + R. Gold wpt 655
3	2	197	2	1.1	1	2	8	3	3974122.75	435723.7813	1063.487937	Arc C2; E. Spangler
3	2	398	2	167	1	1	8	NaN	3969404.5	435386.1875	4454.662125	Arc C3b; T. Dawson; width from gps
2	2	93	2	10	1	1	14	2	3973346.5	436679.3438	2272.70442	Arc C1; MD006 + RyanGold_07172019 -pt 372. H uncert based on possible range of 0.2-2cm in notes
3	3	151	1	4	1	1	18	NaN	3962038.75	441857.6875	14257.28226	Arc C1; WDZ-012. H is LL. Width estimated from point WDZ-013 to the south.
1	8	173	NaN	10	1	1	NaN	NaN	3954478.5	448341.6875	24216.84037	Arc C2; C. DuRoss. Near southern termination of fault zone. H of 1 +/- 1cm based on note of cm scale RL possible.
1	1	379	NaN	NaN	1	NaN	NaN	NaN	3943823	457463.6563	38243.23054	Arc C2; B. Swanson
1	1	378	NaN	NaN	1	1	NaN	NaN	3943734.25	457617.5	38410.20085	"Arc C1; PB3002, reported as 0.5-1 cm"
3	6	136	2	17	1.5	0.5	2.5	2.5	3960563.25	445276.9063	17588.69144	Haddon_EKH_0711 (E. Haddon)
3	2	393	2	NaN	1.5	1.5	3	NaN	3976696.75	437726.9375	385.2611468	Arc C3b; T. Dawson
3	2	392	2	NaN	1.5	1.5	3	NaN	3976503.75	437671.4375	497.1240849	Arc C3b; T. Dawson
3	4	158	2	NaN	1.5	1	15	2	3959128	440695.5938	15734.85244	Arc C2; S. Bennett. H is LL.
2	1	416	NaN	NaN	1.5	0.5	NaN	NaN	3966885	442069.9063	10687.51598	K. Kendrick gps
2	1	188	NaN	NaN	1.5	0.5	NaN	NaN	3964962.25	442680.4063	12551.31352	B. Philibosian 2019/07/11. Minor cracks with 1-2 cm LL offset
2	2	194	2	5	2	0.5	0.5	1	3974720	436181.625	901.6718988	Arc C2; E. Spangler + R. Gold wpt 659
2	5	176	2	NaN	2	0.5	1.5	0.5	3957225.75	444356.1875	19548.05295	Arc C2; B. Swanson
3	2	401	2	NaN	2	1	3	1	3970475	439437.5938	6246.019939	Arc C3b; K. Thomas
3	11	343	NaN	NaN	2	0.5	3.5	1	3936038.75	463756.5938	48250.91677	"Miliner_Zinke pm 435. H slip sense not reported, but assumed RL"
3	5	181	1	2	2	0.5	6	0.5	3959290	444102.3438	17805.85345	Arc C2; E. Spangler. H is LL
2	1	384	NaN	NaN	2	NaN	NaN	NaN	3943573.5	457830.0938	38670.06981	Arc C1; BO3004
1	1	438	NaN	NaN	2	1	NaN	NaN	3943514.25	459680.2188	39907.28637	S. Akciz
1	10	346	NaN	NaN	2	NaN	NaN	NaN	3936422.5	460318.0313	45742.2195	Arc C1; PB2008
3	5	177	2	NaN	2.2	0.2	6	0.5	3957271.5	444375.0625	19525.29368	Arc C2; S. Bennett. H is LL
2	2	193	2	0.75	2.5	1	1.5	1	3974797	436271.5938	900.7522537	Arc C2; E. Spangler + R. Gold wpt 660
1	1	381	NaN	0.5	2.5	NaN	NaN	NaN	3943896	457432	38166.8916	Arc C2; B. Swanson
1	1	380	NaN	3	2.5	NaN	NaN	NaN	3943845.25	457445.2188	38214.3707	Arc C2; B. Swanson
1	11	450	NaN	NaN	2.5	1	NaN	NaN	3939842.5	461361.1875	43798.60684	S. Akciz
1	10	350	NaN	3	2.5	NaN	NaN	NaN	3937562	459619.5313	44420.75319	"Arc C1; PB2006. H based on 5 strands, each with 0.5 cm RL"
1	10	344	NaN	NaN	2.5	0.5	NaN	NaN	3936868.25	460032.9375	45217.59445	Arc C1; PB2003
1	10	348	NaN	30	2.5	NaN	NaN	NaN	3936616	460184.375	45508.14365	Arc C1; PB2001
2	1	9	NaN	NaN	3	1	0	NaN	3966172	441056.375	10579.9657	Arc C2; C. DuRoss
3	1	16	2	500	3	2	66	11	3963536.75	443556.7813	14206.33093	"Arc C2. Summed DTW pts C. DuRoss (E stand, V 35+/-5 cm, null H), Scharer&GSeitz (central, H 3+/-2 cm, V 4+/-2 cm), C. DuRoss (W strand, V 27+/-10 cm -total slip, null H); V uncert in quadr. Width from GPS pts"
2	2	206	NaN	NaN	3	NaN	NaN	NaN	3971257.75	436182.8125	3550.550874	Arc C1; AP 3
2	1	224	NaN	NaN	3	1	NaN	NaN	3966150	441259.6875	10727.77905	R. Gold wpt 624 and Arc C2 G. Seitz
2	1	40	NaN	NaN	3	NaN	NaN	NaN	3943653	457661.3125	38500.47836	Arc C1; BO3002
1	11	370	NaN	NaN	3.5	0.5	0	NaN	3937633.25	462960.375	46518.48002	"Sinan_Akciz pm 178, summed with pm 179; uncert is compiler judgement"
3	2	195	2	1.6	3.5	1	6.5	2	3974339	435820.8438	960.5378855	Arc C2; G. Seitz + R. Gold wpt 656
1	2	205	NaN	1	4	NaN	3	1	3973456	437746.0938	2876.291548	Arc C1; AP 7
2	2	85	NaN	NaN	4	NaN	NaN	NaN	3968894.75	438682.9375	6968.342223	Arc C1; Jrp 26
1	10	351	NaN	NaN	4	NaN	NaN	NaN	3937221.75	459834.7188	44819.56185	Arc C1; PB2005
1	99	347	NaN	NaN	4	NaN	NaN	NaN	3938064.5	461376.5313	45168.24874	Arc C1; PB2012
1	10	353	NaN	NaN	4	NaN	NaN	NaN	3936731	460110.2188	45372.28024	Arc C1; PB2002
1	10	352	NaN	NaN	4.5	NaN	NaN	NaN	3937119	459911.5938	44947.7218	Arc C1; PB2004
3	2	94	2	NaN	5	NaN	10.5	0.5	3973512.25	436239.0625	1862.276529	Arc C1; Md 8. H is RL. V from MD8 and R. Gold wpt 375 and 376
1	1	409	NaN	NaN	5	5	NaN	NaN	3948328.25	452711.8125	31736.05958	Arc C3b; B. Swanson; reported as few to 10 cm
2	2	203	NaN	NaN	5.5	0.5	3	NaN	3972851.25	436630.1875	2619.979224	Arc C1; MD010
1	1	365	NaN	NaN	6	0.5	0	NaN	3937299	465550.25	48442.56582	Sinan_Akciz pm 14
3	5	178	2	NaN	6	1	18.5	1	3957509.25	444389.0625	19352.52564	Arc C2; S. Bennett. H is LL
2	1	225	NaN	NaN	6	2	NaN	NaN	3965925	441763.1563	11224.10072	R. Gold wpt 623
1	11	374	NaN	NaN	6	2	NaN	NaN	3938367.25	462396.4063	45593.70173	Sinan_Akciz pm 159
2	1	222	NaN	1.5	6.5	NaN	1	NaN	3965609.75	440477.4375	10636.97986	Arc C1; ES 013
1	7	302	NaN	1.5	6.5	NaN	NaN	NaN	3955822.25	448445.3438	23255.95276	Arc C2; T. Dawson
1	11	342	NaN	NaN	7	1.5	1.5	0.5	3937118.75	462763.375	46785.1072	"Miliner_Zinke pm 406. H slip sense not reported, but assumed RL"
3	5	261	1	220	7	2	15.5	12	3958137.5	444308.6875	18820.18645	"Arc C2; S. Bennett,  E. Spangler, and Scharer corrected fault wpts. Diff of two strands: W - 36.5 +/- 11.5 cm (27 +/- 2 cm and 40, uncert assumed 20%/8cm), DTE, E 21 +/- 1 cm DTW, uncert in quadr. Width from GPS"
3	1	226	2	150	7	2	29.5	7	3964214.5	443316.6875	13533.20413	Sum of R. Gold wpt 616 and C. DuRoss wpt 21 (uncert in quadr). H is Rl. Width from GPS pts
3	3	148	NaN	10	7	NaN	50	NaN	3962524.5	441816.5938	13859.37294	Arc C1; WDZ-001. H is RL. V reported as scarp height
2	2	216	NaN	NaN	7	2	NaN	NaN	3969084.75	438419.9688	6653.732858	R. Gold wpt 485 and EKH_0712 wpt 103
2	2	217	NaN	NaN	7	2	NaN	NaN	3968508.5	438955.4688	7439.309155	R. Gold wpt 480 and 481 (no uncert; 20% assigned) summed. Uncert in quadr.
3	6	234	NaN	5	7.5	7.5	18	NaN	3959907.5	445280.2813	18092.43624	"July9_jtj -stop 5, Haddon_EKH_0711 -pm 67 (J. Jobe)"
1	1	387	NaN	NaN	8	5	7	2	3944395.5	457132.1875	37591.71732	Arc C2; T. Ladinsky
3	5	263	NaN	NaN	8	1	10	0.5	3957981.25	444401.8125	18999.69074	"Arc C2; E. Spangler. Additional 10cm LL and 20 cm V noted on NW splay 5 m, but insufficient detail to compile"
2	2	199	NaN	NaN	8	NaN	NaN	NaN	3973447	436407.625	2020.962529	R. Gold wpt 373
2	2	86	NaN	NaN	8	NaN	NaN	NaN	3969424.5	438686.5	6565.557282	Arc C1; Jrp 32
1	8	174	NaN	NaN	8	NaN	NaN	NaN	3954642	448369.8438	24109.92551	Arc C2; Nag 31
2	2	80	NaN	NaN	8.5	1.5	NaN	NaN	3969432.75	438195.5938	6242.981856	RyanGold_07172019 pt 489
2	2	84	NaN	NaN	8.5	1.5	NaN	NaN	3968737.5	438652.0938	7068.848534	EKH_0712 wpt 101
2	1	7	NaN	NaN	8.5	NaN	NaN	NaN	3966558.25	440416.4375	9872.286866	Arc C1; ES015
3	5	179	2	NaN	9	2	20	2	3957650	444364.3125	19228.9581	Arc C2; S. Bennett. H is LL
1	1	41	NaN	5	9	2	NaN	NaN	3944144	458341.2813	38563.14378	Arc C2; S. Bennett
2	2	95	NaN	8	10	3	3	1	3974423.75	435864.4688	924.000436	Arc C2; E. Spangler
3	1	15	2	50	10	5	17	5	3964327.75	443294.75	13432.46521	Arc C2; G. Seitz. Width from GPS pts.
3	1	14	2	15	10	4	25	6	3964626.5	443048.1563	13045.13171	"Arc C2; G. Seitz and R. Gold wpt 605 for scarp facing dir and width. V is sum of two strands: W 12+/-4cm, E 13+/-5cm; uncert summed. H based on W strand."
2	2	92	NaN	10	10	NaN	NaN	NaN	3972237.25	437125.5	3408.679911	Arc C1; mD003
2	2	83	NaN	NaN	10	NaN	NaN	NaN	3968934.75	438739.8125	6974.440948	Arc C1; Jrp 30
2	1	415	NaN	NaN	10	3	NaN	NaN	3966001	440909.7813	10616.28328	K. Kendrick gps
1	9	303	NaN	NaN	10	NaN	NaN	NaN	3955546.75	448015.4688	23189.63447	Arc C1; Nag38
1	11	377	NaN	NaN	10	10	NaN	NaN	3939243.75	461785.2188	44529.54011	"RyanGold wpt 356, reported as <20 cm RL"
2	2	91	2	9	10.1999998	NaN	7.5	NaN	3971959.5	436837.4375	3435.509929	Arc C1; AP5
1	1	10	1	100	11	3	2	1	3965843.75	441839.3438	11335.36502	Arc C2;  B. Philibosian and C. DuRoss_obs_July23-25 -waypt 27. Width based on distance to eastern strand (C. DuRoss waypt 26)
1	2	210	2	NaN	11	3	11	2	3971942.5	437927.4063	4150.644876	R. Gold wpt 369
3	1	185	2	12	11	8	27.5	7.5	3964512	443146.9063	13196.34421	"Arc C2; G. Seitz and R. Gold wpt 606, both H and V are midpt and range of Seitz and Gold obs"
1	1	6	NaN	NaN	11	3	NaN	NaN	3966432.25	439976.8125	9685.446882	Arc C2; C. DuRoss
2	2	209	NaN	NaN	11.5	1.5	5	2	3971562	437131.0938	3928.594781	Arc C1 Nag54 + C. DuRoss wpt 443
1	1	341	NaN	NaN	12	NaN	NaN	NaN	3937292.75	465490.5625	48408.92617	USC_AlexHatem pt 23
2	1	223	NaN	4	12.5	2.5	0	NaN	3966246.75	441078.7813	10537.19424	"R. Gold wpt 625, width from Arc C2; G. Seitz"
1	1	386	NaN	NaN	12.5	4.5	5.5	5	3944296	457224.4375	37727.3647	"Arc C2; T. Ladinsky and B. Swanson, H and V is average, uncert based on range of meas"
1	2	204	NaN	NaN	12.5	4.5	12	NaN	3972999.75	437928.5	3342.729832	"July7_revised_jtj, Midpt and range of 8cm and 16-17 cm RL obs (J. Jobe)"
1	11	368	NaN	90	13.5	3.5	NaN	NaN	3938080.5	462615.1563	45953.92919	Sinan_Akciz pm 170 (8-15 cm RL) summed with pm 191 (2 cm RL); width from GPS
3	5	260	1	350	14	5	18.5	7	3958368.25	444277.4688	18623.61307	"Arc C2; S. Bennett and E. Spangler. Combined two strands. W strand: midpt/range of 2 obs 52 +/- 3 cm DTE, 56 +/- 5 cm DTE, E strand: 35 +/- 1 cm DTW, 38 +/- 1 cm DTW. V based on diff  of midpt, uncert in quadr. H is LL from W strand. Width from GPS"
1	2	210	NaN	NaN	14	3	NaN	NaN	3971912.5	437920.5938	4169.301312	R. Gold wpt 370
1	1	5	NaN	NaN	14	2	NaN	NaN	3966613.75	439957.6875	9534.135598	Arc C2; C. DuRoss
1	11	375	NaN	NaN	14	3	NaN	NaN	3938398.75	462365.6875	45549.85055	Sinan_Akciz pm 158
1	11	448	NaN	NaN	15	3	NaN	NaN	3939279.75	461749.375	44479.06468	S. Akciz
1	11	118	NaN	NaN	15	5	NaN	NaN	3938659.75	462208.6563	45249.04235	R. Gold pt 335-TRC
1	1	388	NaN	NaN	17	3	1.5	1.5	3944404	457070.9375	37545.82922	Sinan_Akciz pm 29
1	1	108	2	15	17	5	7	NaN	3947949.25	453269.1875	32385.16185	Arc C1; pt 12-2 (AMorelan); width from 12-3
2	2	207	NaN	NaN	17.5	NaN	NaN	NaN	3971471	436356.375	3499.089036	Arc C1; Airport1
3	9	311	2	1	18	10	24	10	3952803.75	451392.5938	27463.17313	Arc C2; B. Swanson + RDG wpt 650
3	1	434	1	NaN	18	4	NaN	NaN	3944703.75	456715.1563	37087.39031	S. Akciz
1	1	389	NaN	NaN	18	8	NaN	NaN	3944395.5	457077.9375	37556.7877	Arc C2; T. Ladinsky
1	11	369	2	NaN	18.5	1.5	4	NaN	3937970.75	462725.5938	46109.01356	Sinan_Akciz pm 170 (8-15 cm RL) summed with pm 191 (2 cm RL); width from GPS173 (16-19 cm RL) summed with pm 188 (1 cm RL); width from GPS
1	8	172	NaN	0.4	19	5	0	NaN	3954639.75	448269.625	24047.07286	Arc C2; C. DuRoss
2	2	89	1	NaN	19	NaN	2	NaN	3971420.5	436306.0625	3505.299782	Arc C1; AP2. Vert is N side up
2	1	144	NaN	NaN	19	3	3	2	3965692.25	440574.9688	10636.66689	July8am_jtj -stop 21
1	1	218	1	5	19	5	7.5	2	3966722	439940.875	9440.504975	R. Gold wpt 630
