xyz_c_1	xyz_c_2	xyz_c_3	L	W	strike	dip	slip_strike	slip_dip	traction_strike	traction_dip
1095.78189743198	-49161.0896767545	-309.016994374947	2000	2000	9	18	0	0	-0.135015978992302	1.06192591720266
1408.65082751245	-47185.7129955642	-309.016994374947	2000	2000	9	18	0	0	0.0146311471562845	1.36498588810154
1721.51975759291	-45210.336314374	-309.016994374947	2000	2000	9	18	0	0	-0.0374662308858547	1.75947293542906
2034.38868767337	-43234.9596331837	-309.016994374947	2000	2000	9	18	0	0	-0.0270027047793743	2.3148927998423
2347.25761775383	-41259.5829519934	-309.016994374947	2000	2000	9	18	0	0	0.085708280207816	2.84062542012152
2660.12654783429	-39284.2062708031	-309.016994374947	2000	2000	9	18	0	0	0.317286599139608	3.12660099960706
2972.99547791475	-37308.8295896129	-309.016994374947	2000	2000	9	18	0	0	0.678925402563431	2.550884379537
3285.86440799522	-35333.4529084226	-309.016994374947	2000	2000	9	18	0	0	-0.198124265567075	2.43356917243436
3598.73333807568	-33358.0762272323	-309.016994374947	2000	2000	9	18	0	0	0.261094036161292	3.9662555106284
3911.60226815614	-31382.699546042	-309.016994374947	2000	2000	9	18	0	0	0.634533977368477	4.55192177311455
4224.4711982366	-29407.3228648518	-309.016994374947	2000	2000	9	18	0	0	0.81779965133924	4.83929917930691
4537.34012831706	-27431.9461836615	-309.016994374947	2000	2000	9	18	0	0	0.930819438704279	5.02144844857793
4850.20905839752	-25456.5695024712	-309.016994374947	2000	2000	9	18	0	0	1.00966313329596	5.13105086909552
5163.07798847799	-23481.1928212809	-309.016994374947	2000	2000	9	18	0	0	1.07710620072256	5.13541461215316
5475.94691855845	-21505.8161400907	-309.016994374947	2000	2000	9	18	0	0	1.21677596016528	4.80797516386067
5788.81584863891	-19530.4394589004	-309.016994374947	2000	2000	9	18	0	0	1.11478024864447	3.16511129246717
6101.68477871937	-17555.0627777101	-309.016994374947	2000	2000	9	18	0	0	0.0396480252464876	3.95459807192501
6414.55370879983	-15579.6860965198	-309.016994374947	2000	2000	9	18	0	0	0.742258717870138	5.31024333886508
6727.42263888029	-13604.3094153296	-309.016994374947	2000	2000	9	18	0	0	1.06232307354283	5.76242230017581
7040.29156896076	-11628.9327341393	-309.016994374947	2000	2000	9	18	0	0	1.19807584357299	5.96939361868136
7353.16049904122	-9653.55605294901	-309.016994374947	2000	2000	9	18	0	0	1.27802820433677	6.06333669534206
7666.02942912168	-7678.17937175874	-309.016994374947	2000	2000	9	18	0	0	1.3725332355221	5.97797120613756
7978.89835920214	-5702.80269056846	-309.016994374947	2000	2000	9	18	0	0	1.6527487633519	5.19752071857043
8291.7672892826	-3727.42600937819	-309.016994374947	2000	2000	9	18	0	0	0.636117780767619	3.36535086191564
8604.63621936306	-1752.04932818791	-309.016994374947	2000	2000	9	18	0	0	0.551303222873495	5.38996637953995
8917.50514944353	223.327353002365	-309.016994374947	2000	2000	9	18	0	0	1.23257763247259	6.24652957748233
