#    lon              lat             slip-m
   9.5487990e+01   2.6357300e+00   1.3366368e-01
   9.5305519e+01   2.4815730e+00   1.4813359e-01
   9.6025937e+01   2.3576550e+00   1.3547608e+00
   9.6458252e+01   2.9683990e+00   3.5947788e-01
   9.6274742e+01   2.1981210e+00   1.8005924e+00
   9.6457291e+01   2.3520320e+00   8.3795313e-01
   9.5049512e+01   2.6211680e+00   1.0680516e-01
   9.5210872e+01   2.0391000e+00   4.5296757e-01
   9.5090905e+01   2.1806380e+00   2.9448220e-01
   9.5545442e+01   2.1983950e+00   7.1428180e-01
   9.4867104e+01   2.4669280e+00   1.7034323e-01
   9.4828812e+01   2.3163310e+00   2.0193314e-01
   9.5363026e+01   2.0442840e+00   6.2706612e-01
   9.5273305e+01   2.3348070e+00   2.7285334e-01
   9.5123095e+01   2.3273940e+00   2.2498777e-01
   9.4581129e+01   2.4615480e+00   2.2555720e-01
   9.5011196e+01   2.4705570e+00   1.5268629e-01
   9.4439247e+01   2.4597960e+00   2.5230662e-01
   9.4940713e+01   2.1732040e+00   2.4234221e-01
   9.4763499e+01   2.6158320e+00   1.7594941e-01
   9.4305805e+01   2.9294460e+00   2.8592925e-01
   9.5193625e+01   2.6247710e+00   9.8965391e-02
   9.4621597e+01   2.6141000e+00   2.1359894e-01
   9.4523828e+01   2.7664630e+00   2.4006446e-01
   9.4181902e+01   2.9385010e+00   3.0053348e-01
   9.4385587e+01   2.7662330e+00   2.7177203e-01
   9.4670631e+01   3.2382610e+00   1.8951424e-01
   9.4803991e+01   2.7684020e+00   1.5287906e-01
   9.4706228e+01   2.9208070e+00   1.8396968e-01
   9.5376103e+01   2.7789650e+00   1.5399528e-01
   9.4945913e+01   2.7701100e+00   1.1229585e-01
   9.5558632e+01   2.9331290e+00   1.3461575e-01
   9.4853124e+01   3.3926510e+00   1.3303368e-01
   9.5310893e+01   3.0786120e+00   1.2874596e-01
   9.4750393e+01   3.0749620e+00   1.6790596e-01
   9.5168926e+01   3.0769670e+00   1.0717829e-01
   9.5414476e+01   2.9295910e+00   1.5076666e-01
   9.5779660e+01   3.2378750e+00   1.1484052e-01
   9.3999580e+01   2.7840760e+00   3.0953768e-01
   9.4567966e+01   2.9206000e+00   2.2615941e-01
   9.4888677e+01   3.0751410e+00   1.2524937e-01
   9.5071180e+01   3.2294550e+00   9.7945060e-02
   9.4729164e+01   3.4017850e+00   1.6335700e-01
   9.4932873e+01   3.2293080e+00   1.1582748e-01
   9.5619051e+01   3.6921860e+00   9.3116607e-02
   9.4546691e+01   3.2473650e+00   2.2038880e-01
   9.4911696e+01   3.5561840e+00   1.1218980e-01
   9.5218291e+01   3.7013460e+00   1.0210427e-01
   9.5846204e+01   4.0004890e+00   7.4632854e-02
   9.5459680e+01   4.0191620e+00   1.0369616e-01
   9.5094290e+01   3.7105530e+00   9.5130286e-02
   9.5597038e+01   3.0837550e+00   1.1031821e-01
   9.5400974e+01   3.8556330e+00   1.0809742e-01
   9.5436363e+01   3.5379870e+00   1.0839750e-01
   9.5035676e+01   3.5470160e+00   9.7729738e-02
   9.5115410e+01   3.3836310e+00   9.7248627e-02
   9.5298008e+01   3.5379200e+00   1.0768787e-01
   9.5351476e+01   3.2312100e+00   1.1849776e-01
   9.5534085e+01   3.3854140e+00   1.0326646e-01
   9.5801809e+01   3.8463270e+00   7.7932386e-02
   9.5716758e+01   3.5395700e+00   8.4112281e-02
   9.5858799e+01   3.5410840e+00   8.9685446e-02
   9.5962343e+01   3.3919420e+00   1.3757968e-01
   9.6289351e+01   3.5492900e+00   2.4194824e-01
   9.5642484e+01   4.1733840e+00   8.9970556e-02
   9.5663401e+01   3.8463580e+00   8.9833790e-02
   9.5766554e+01   4.1640360e+00   8.1835827e-02
   9.6082311e+01   3.8477000e+00   1.0207618e-01
   9.6224406e+01   3.8491010e+00   1.6276790e-01
   9.6041566e+01   3.6951290e+00   1.0530171e-01
   9.6472201e+01   3.7031600e+00   3.3139902e-01
   9.7006664e+01   3.4296180e+00   6.5153001e-01
   9.6823790e+01   3.2759660e+00   5.8689268e-01
   9.6401181e+01   3.4058560e+00   3.3046129e-01
   9.6584014e+01   3.5596840e+00   4.2545356e-01
   9.6640988e+01   3.1222230e+00   4.7437375e-01
   9.6854302e+01   3.4248460e+00   5.9404987e-01
   9.6671457e+01   3.2711270e+00   5.0140990e-01
   9.6902386e+01   2.9730590e+00   5.9785367e-01
   9.7144993e+01   2.8075250e+00   6.5635519e-01
   9.6756461e+01   2.9732060e+00   5.2138441e-01
   9.7327795e+01   2.9610870e+00   7.4598129e-01
   9.5676100e+01   3.3869760e+00   9.1194944e-02
   9.5493466e+01   3.2328160e+00   1.1365618e-01
   9.6123321e+01   2.8094940e+00   3.9560462e-01
   9.6368770e+01   3.2591180e+00   3.2789987e-01
   9.6275579e+01   2.8145030e+00   3.4206642e-01
   9.6488681e+01   3.1173220e+00   3.8794624e-01
   9.5638243e+01   2.6430820e+00   1.5684686e-01
   9.5853087e+01   2.9439400e+00   2.6122804e-01
   9.5940731e+01   2.6554910e+00   4.2754008e-01
   9.5670512e+01   2.7898550e+00   1.8512250e-01
   9.6092966e+01   2.6605460e+00   5.0877885e-01
   9.6003387e+01   2.9512110e+00   3.3982926e-01
   9.6208484e+01   2.5116320e+00   8.0770963e-01
   9.6536965e+01   2.6655150e+00   3.8979961e-01
   9.6305970e+01   2.9634410e+00   3.2382657e-01
   9.6391084e+01   2.6655570e+00   3.7496161e-01
   9.6719644e+01   2.8193260e+00   4.7284307e-01
   9.6822552e+01   2.6596710e+00   5.0441285e-01
   9.7110785e+01   1.0837700e+00   2.4934830e+00
   9.7241517e+01   8.4764700e-01   1.7178124e+00
   9.7423929e+01   1.0014290e+00   1.1215949e+00
   9.7851875e+01  -1.1828100e-01   8.8808582e-01
   9.7606377e+01   1.1551480e+00   4.6462071e-01
   9.7725642e+01   9.1103600e-01   3.8862638e-01
   9.7825013e+01   1.5700260e+00   3.2609379e-01
   9.7642471e+01   1.4164380e+00   2.6572299e-01
   9.8547723e+01   1.1462830e+00   5.1363976e-01
   9.7951007e+01   1.3295950e+00   2.9211463e-01
   9.7682192e+01   1.7991200e+00   4.3484202e-01
   9.7658228e+01   1.5449120e+00   2.9145738e-01
   9.7873057e+01   2.0783360e+00   1.1361588e+00
   9.7690399e+01   1.9248570e+00   5.8889449e-01
   9.7155103e+01   1.7143110e+00   5.1501535e-01
   9.6976808e+01   1.6851720e+00   8.3476307e-01
   9.7090421e+01   2.1475520e+00   3.2140123e-01
   9.7035713e+01   1.9786820e+00   3.2645457e-01
   9.7524556e+01   2.1461940e+00   7.5673215e-01
   9.7337659e+01   1.8680040e+00   3.5347564e-01
   9.7341922e+01   1.9925990e+00   3.8986687e-01
   9.7400961e+01   2.2860020e+00   7.0692402e-01
   9.7370905e+01   3.1205210e+00   7.6990466e-01
   9.7603782e+01   2.9468980e+00   1.0318034e+00
   9.7268070e+01   3.2802560e+00   7.2672040e-01
   9.7122098e+01   3.2805290e+00   6.9633484e-01
   9.7188054e+01   2.9669980e+00   6.9721819e-01
   9.8068428e+01   2.4818940e+00   1.8338822e+00
   9.7740027e+01   2.9386210e+00   1.2635575e+00
   9.7420941e+01   2.7934540e+00   8.0428177e-01
   9.7821337e+01   2.7616500e+00   1.4994300e+00
   9.7949278e+01   2.7462840e+00   1.6765068e+00
   9.7455756e+01   2.4547920e+00   8.2771114e-01
   9.7583670e+01   2.4395320e+00   1.0862628e+00
   9.7702927e+01   2.1751450e+00   1.0528948e+00
   9.7707247e+01   2.2996970e+00   1.2498503e+00
   9.7864820e+01   1.9526250e+00   8.6610217e-01
   9.8047505e+01   2.1060310e+00   1.4448765e+00
   9.7971398e+01   1.4623540e+00   3.3397769e-01
   9.8007605e+01   1.7235240e+00   6.3681914e-01
   9.8190249e+01   1.8769230e+00   1.1627074e+00
   9.8206097e+01   2.0053030e+00   1.4360398e+00
   9.7889999e+01   2.4531010e+00   1.6668389e+00
   9.8230248e+01   2.2593300e+00   1.8127902e+00
   9.8498812e+01   1.7898030e+00   1.2105165e+00
   9.8055773e+01   2.2317140e+00   1.6546256e+00
   9.8372950e+01   2.0302140e+00   1.5824383e+00
   9.8238551e+01   2.3849800e+00   1.8662018e+00
   9.8388832e+01   2.1585560e+00   1.7366127e+00
   9.8519302e+01   1.9224460e+00   1.4245221e+00
   9.8336613e+01   1.7691900e+00   1.0902267e+00
   9.8615708e+01   1.5464110e+00   8.1730530e-01
   9.8638353e+01   1.6784000e+00   1.0240592e+00
   9.8788728e+01   7.8377800e-01   3.4541274e-01
   9.8153980e+01   1.6158230e+00   6.3720527e-01
   9.8570393e+01   1.2803530e+00   5.3623432e-01
   9.8864676e+01   1.1850640e+00   4.4315100e-01
   9.8068038e+01   1.0861540e+00   4.4621800e-01
   9.8316159e+01   1.6365050e+00   8.2971518e-01
   9.8273126e+01   1.3717480e+00   4.9751472e-01
   9.8455713e+01   1.5251290e+00   7.4468364e-01
   9.8433102e+01   1.3930960e+00   5.8286731e-01
   9.8090588e+01   1.2182660e+00   3.9147232e-01
   9.8317188e+01   7.2478400e-01   8.8912765e-01
   9.8250547e+01   1.2396740e+00   4.7065113e-01
   9.8205357e+01   9.7344900e-01   6.1591879e-01
   9.8499641e+01   8.7831200e-01   6.4251731e-01
   9.8387852e+01   1.1269510e+00   5.4296004e-01
   9.8474229e+01   7.4441100e-01   7.4633979e-01
   9.8730280e+01   1.2996220e+00   5.3468094e-01
   9.8682136e+01   1.0317420e+00   4.6673906e-01
   9.8971220e+01   9.3713600e-01   2.8921521e-01
   9.9079445e+01   6.8985600e-01   1.2489439e-01
   9.8690469e+01   2.4947200e-01   1.3273786e-01
   9.9055261e+01   5.5646900e-01   1.5417190e-01
   9.9169391e+01   3.0901500e-01   3.0811283e-01
   9.8872847e+01   4.0302100e-01   9.8429998e-02
   9.9009052e+01   2.8930200e-01   3.1199089e-01
   9.9191448e+01   4.4274300e-01   2.4920058e-01
   9.8134773e+01   5.7116600e-01   1.0760979e+00
   9.8462062e+01  -1.7160600e-01   3.4831343e-02
   9.8826691e+01   1.3575800e-01   3.0847013e-01
   9.8325809e+01  -5.7893000e-02   4.9163879e-01
   9.8987022e+01   1.5552300e-01   3.6744219e-01
   9.8896998e+01   5.3645900e-01   1.1865587e-01
   9.8423865e+01   4.7675200e-01   9.7903409e-01
   9.8532226e+01   2.2935800e-01   5.7918326e-01
   9.8656695e+01   8.9788500e-01   4.9249446e-01
   9.8581301e+01   4.9659900e-01   6.3284404e-01
   9.8714594e+01   3.8295600e-01   2.2695573e-01
   9.8763724e+01   6.5010900e-01   3.3412114e-01
   9.7885572e+01   9.3254700e-01   4.3171677e-01
   9.7520750e+01   6.2510500e-01   7.5077958e-01
   9.7635561e+01   3.7819100e-01   5.2646211e-01
   9.7927054e+01   2.8345500e-01   1.0559325e+00
   9.7156052e+01   3.1742500e-01   8.0981238e-01
   9.7221225e+01   7.1478100e-01   1.5283307e+00
   9.7840486e+01   6.6618300e-01   6.5639362e-01
   9.7360845e+01   6.0351600e-01   9.8213584e-01
   9.7703144e+01   7.7886100e-01   5.0628680e-01
   9.7543227e+01   7.5730800e-01   7.0458924e-01
   9.7178492e+01   4.4967000e-01   1.0133876e+00
   9.7405421e+01  -4.4008000e-02   6.0097489e-01
   9.7744657e+01   1.2965700e-01   8.3076928e-01
   9.7475750e+01   3.5863100e-01   5.0269205e-01
   9.7817923e+01   5.3196400e-01   8.1246426e-01
   9.7658103e+01   5.1243800e-01   6.5789376e-01
   9.8059147e+01   1.6937600e-01   1.2186683e+00
   9.7770042e+01   2.6370100e-01   7.6400790e-01
   9.8216565e+01   1.8930900e-01   1.2623613e+00
   9.7952391e+01   4.1746900e-01   1.0690269e+00
   9.8291802e+01   5.9084100e-01   1.0475721e+00
   9.8241491e+01   3.2310300e-01   1.2979657e+00
   9.7694468e+01  -1.3827600e-01   7.5455504e-01
   9.7587653e+01   1.0987300e-01   6.1793993e-01
   9.7778998e+01  -5.1946800e-01   7.5039915e-01
   9.7380134e+01  -1.7810200e-01   6.5109067e-01
   9.7562352e+01  -2.4199000e-02   6.3940037e-01
   9.7111121e+01   5.0868000e-02   6.2751391e-01
   9.7305157e+01  -5.8006200e-01   8.4383885e-01
   9.7512261e+01  -2.9218200e-01   7.2552704e-01
   9.7453228e+01   2.2435800e-01   4.9721433e-01
   9.7293425e+01   2.0477100e-01   5.8316285e-01
   9.7893380e+01  -7.6720600e-01   8.0188675e-01
   9.7487404e+01  -4.2609500e-01   7.8008915e-01
   9.7596762e+01  -6.7342900e-01   8.8107497e-01
   9.7550849e+01  -9.4117600e-01   9.6392797e-01
   9.7330003e+01  -4.4612900e-01   7.8225200e-01
   9.7414533e+01  -8.2742600e-01   9.3984723e-01
   9.7438541e+01  -6.9371700e-01   8.9965415e-01
   9.7528954e+01  -1.0752350e+00   9.6866854e-01
   9.7711163e+01  -9.2120300e-01   9.3761557e-01
   9.8440101e+01  -3.0551600e-01   5.0743838e-02
   9.8622381e+01  -1.5175100e-01   2.4228831e-01
   9.7620779e+01  -5.3974100e-01   8.1578146e-01
   9.7733068e+01  -7.8716700e-01   8.8982560e-01
   9.8257843e+01  -4.5935300e-01   2.0927775e-01
   9.7803027e+01  -3.8580500e-01   7.1710862e-01
   9.8034241e+01   3.5546000e-02   1.0937788e+00
   9.7876762e+01   1.5580000e-02   1.1140536e+00
   9.8143518e+01  -2.1169000e-01   5.6683414e-01
   9.8097530e+01  -4.7927200e-01   3.9084070e-01
   9.8508125e+01   9.5831000e-02   4.6088020e-01
   9.8349889e+01   7.5673000e-02   8.7221848e-01
   9.7985293e+01  -2.3191700e-01   7.1470613e-01
   9.8075605e+01  -6.1325200e-01   5.2280688e-01
   9.8279786e+01  -3.2540600e-01   1.8758135e-01
