#patchMidLon patchMidLat patchMidDepth patchLength patchWidth rake strike dip slip(cm)
98.991160 -2.687289 2.200000 10886.508 3829.238 98.000000 322.406483 7.000000 0.000000
98.931452 -2.609264 2.200000 10886.508 3829.238 98.000000 322.406483 7.000000 0.000000
98.871751 -2.531238 2.200000 10886.508 3829.238 98.000000 322.406483 7.000000 0.000000
98.812057 -2.453209 2.200000 10886.508 3829.238 98.000000 322.406483 7.000000 0.000000
98.752369 -2.375179 2.200000 10886.508 3829.238 98.000000 322.406483 7.000000 0.000000
98.692687 -2.297147 2.200000 10886.508 3829.238 98.000000 322.406483 7.000000 0.000000
98.633010 -2.219114 2.200000 10886.508 3829.238 98.000000 322.406483 7.000000 0.000000
100.094542 -4.070080 2.666667 10886.508 3829.238 98.000000 322.406483 7.000000 0.000000
100.034654 -3.992140 2.666667 10886.508 3829.238 98.000000 322.406483 7.000000 78.013653
99.974779 -3.914193 2.666667 10886.508 3829.238 98.000000 322.406483 7.000000 205.634887
99.914916 -3.836239 2.666667 10886.508 3829.238 98.000000 322.406483 7.000000 400.625573
99.855065 -3.758280 2.666667 10886.508 3829.238 98.000000 322.406483 7.000000 633.168069
99.795227 -3.680314 2.666667 10886.508 3829.238 98.000000 322.406483 7.000000 805.704220
99.735399 -3.602342 2.666667 10886.508 3829.238 98.000000 322.406483 7.000000 906.891124
99.675583 -3.524365 2.666667 10886.508 3829.238 98.000000 322.406483 7.000000 955.418869
99.615778 -3.446383 2.666667 10886.508 3829.238 98.000000 322.406483 7.000000 969.737199
99.555983 -3.368395 2.666667 10886.508 3829.238 98.000000 322.406483 7.000000 955.734399
99.496198 -3.290403 2.666667 10886.508 3829.238 98.000000 322.406483 7.000000 904.185649
99.436424 -3.212406 2.666667 10886.508 3829.238 98.000000 322.406483 7.000000 794.750442
99.376658 -3.134405 2.666667 10886.508 3829.238 98.000000 322.406483 7.000000 609.343746
99.316902 -3.056400 2.666667 10886.508 3829.238 98.000000 322.406483 7.000000 363.277201
