#1:Lon   2:Lat   3:Center(km)    4:Slip(cm)    5:Stri-Slip(cm)    6:Dip-slip(cm)    7:StriSlipErr(cm)   8:DipSlipErr(cm)
98.023420 1.851939 64.989893 44.392155 2.842018 -44.301087 0.000000 0.000000
97.768503 1.176002 34.929707 281.275452 -40.174000 278.391684 0.000000 0.000000
98.398916 0.342996 36.730339 44.939796 -11.288181 43.498991 0.000000 0.000000
98.133558 1.483099 56.519255 66.182768 1.236030 -66.171225 0.000000 0.000000
98.365213 0.992838 51.788103 151.194438 -5.688714 -151.087381 0.000000 0.000000
98.072814 2.606394 91.295752 0.000290 -0.000015 -0.000290 0.000000 0.000000
97.338387 0.471290 13.765405 55.521000 -12.322736 54.136232 0.000000 0.000000
97.908094 1.064692 36.782057 48.460779 -9.693419 47.481414 0.000000 0.000000
97.095099 0.955231 14.994290 683.912911 -136.086979 670.236677 0.000000 0.000000
98.022903 0.819857 35.131925 17.434960 -5.912858 -16.401705 0.000000 0.000000
98.839204 1.051255 75.954376 0.000951 -0.000935 -0.000173 0.000000 0.000000
97.788865 1.308792 38.788319 362.665157 -34.271663 361.042198 0.000000 0.000000
96.876787 0.539927 7.412837 0.001158 -0.001116 0.000309 0.000000 0.000000
97.223140 -0.197930 6.955339 0.000684 -0.000510 -0.000456 0.000000 0.000000
97.197866 -0.332044 5.950390 0.000547 -0.000486 -0.000250 0.000000 0.000000
98.606278 0.630314 52.135305 22.879908 -10.854265 -20.141379 0.000000 0.000000
98.644363 -0.017882 36.488048 0.002503 -0.002182 -0.001228 0.000000 0.000000
98.167579 -0.078088 21.035634 26.259875 -23.091288 12.504936 0.000000 0.000000
98.109411 0.437186 29.592624 173.826460 -25.467225 171.950745 0.000000 0.000000
98.804488 0.001931 42.879907 0.001847 -0.001679 0.000769 0.000000 0.000000
97.915294 -0.633196 12.047399 0.001909 -0.001905 -0.000113 0.000000 0.000000
98.946187 0.803516 73.615217 0.001417 -0.001401 0.000212 0.000000 0.000000
98.752983 1.433646 84.275276 0.000482 -0.000482 -0.000006 0.000000 0.000000
96.096405 1.555167 6.630593 0.000177 -0.000072 -0.000162 0.000000 0.000000
95.866980 1.730547 6.519265 0.000279 -0.000059 0.000273 0.000000 0.000000
96.142710 1.717048 8.392033 43.783746 -0.193796 43.783317 0.000000 0.000000
96.177953 1.378282 5.796674 0.000110 -0.000053 0.000096 0.000000 0.000000
95.727371 1.736127 5.723334 0.000082 -0.000066 0.000049 0.000000 0.000000
95.843440 2.203633 10.816226 206.267829 4.066334 206.227744 0.000000 0.000000
95.960295 1.563060 5.705626 0.000069 -0.000066 0.000021 0.000000 0.000000
96.049408 1.884553 9.093403 133.534414 -0.156773 133.534322 0.000000 0.000000
96.325165 1.871000 11.695633 74.686176 -5.361939 74.493453 0.000000 0.000000
95.989264 2.203712 11.956347 305.978914 6.401627 305.911940 0.000000 0.000000
96.461298 1.863053 13.421916 47.895117 -6.952130 47.387869 0.000000 0.000000
96.305791 1.363266 6.923144 0.000515 0.000016 -0.000515 0.000000 0.000000
96.794320 1.531360 15.952095 294.158885 -103.122952 275.490664 0.000000 0.000000
96.360363 1.532232 8.978927 24.645303 0.796319 -24.632435 0.000000 0.000000
96.587376 0.876538 6.200653 0.001288 -0.000505 0.001185 0.000000 0.000000
96.425307 1.098934 6.108829 0.000799 -0.000144 0.000786 0.000000 0.000000
96.429464 1.223585 7.229025 0.000985 -0.000215 0.000962 0.000000 0.000000
96.488210 1.517194 10.483897 23.208692 -4.672134 -22.733555 0.000000 0.000000
96.912714 0.801379 10.227726 267.250005 -61.760880 260.015690 0.000000 0.000000
96.611873 1.377495 11.166258 144.683870 -43.306603 138.050571 0.000000 0.000000
97.038864 0.560925 9.964776 73.918458 -20.412125 71.044237 0.000000 0.000000
96.730358 0.647484 6.201085 0.001080 -0.000864 0.000649 0.000000 0.000000
97.669665 -0.272165 11.189761 94.772192 -24.178187 91.636148 0.000000 0.000000
97.270919 0.070477 9.199328 25.857176 -6.163601 -25.111822 0.000000 0.000000
97.059138 0.693810 11.492135 193.417414 -41.560036 188.899602 0.000000 0.000000
97.403615 0.868585 19.910664 334.277966 -65.310258 327.835826 0.000000 0.000000
97.293225 1.237552 23.274922 1059.951065 -153.265064 1048.811747 0.000000 0.000000
96.972593 1.560547 20.255650 833.688640 -243.642628 797.292304 0.000000 0.000000
96.853167 1.824911 20.526367 258.645729 -73.166925 248.081064 0.000000 0.000000
96.769751 1.030439 10.285032 435.610582 -88.086451 426.611482 0.000000 0.000000
97.277517 1.109031 20.817052 850.110711 -142.261835 838.122778 0.000000 0.000000
97.134603 1.338105 21.116693 1220.353009 -269.297975 1190.268905 0.000000 0.000000
96.960269 1.310111 16.872354 824.018074 -195.468156 800.498586 0.000000 0.000000
96.595450 1.002372 7.431974 0.003612 -0.000829 0.003516 0.000000 0.000000
96.746009 0.776050 7.488614 0.002515 -0.001509 0.002013 0.000000 0.000000
96.826369 2.170744 25.566304 369.676621 -29.464020 368.500577 0.000000 0.000000
96.643809 2.016928 18.598743 227.854791 -28.512580 226.063793 0.000000 0.000000
96.777842 1.156264 11.700031 594.876365 -137.869510 578.679434 0.000000 0.000000
96.790127 1.406724 14.599952 342.556904 -85.830851 331.629760 0.000000 0.000000
95.910408 2.506535 15.777959 198.597369 16.820331 197.883783 0.000000 0.000000
95.660989 2.049577 8.140397 65.167903 1.164945 65.157490 0.000000 0.000000
95.909786 1.890158 8.145601 96.725243 0.295053 96.724793 0.000000 0.000000
96.231878 2.038525 12.422834 238.400344 0.676428 238.399384 0.000000 0.000000
96.414394 2.192452 17.190652 492.449158 -3.176087 492.438916 0.000000 0.000000
96.573741 2.819418 37.170782 337.242615 -1.066221 337.240929 0.000000 0.000000
96.872805 2.332554 30.525749 423.640974 -19.638088 423.185563 0.000000 0.000000
96.907836 1.993813 24.395648 269.814534 -61.831305 262.634294 0.000000 0.000000
97.191649 2.478164 43.933515 141.070871 -8.802261 140.795991 0.000000 0.000000
97.507795 1.771286 40.455522 466.960035 -112.303247 453.254514 0.000000 0.000000
96.354345 2.511636 22.694139 705.935218 13.950253 705.797366 0.000000 0.000000
96.596960 2.346325 23.951721 691.348791 9.447360 691.284238 0.000000 0.000000
96.779579 2.500134 32.573937 509.058704 -2.707904 509.051502 0.000000 0.000000
96.690208 2.178763 22.449440 441.034340 -30.182483 440.000349 0.000000 0.000000
97.055457 2.486273 39.930431 244.764850 -5.552020 244.701873 0.000000 0.000000
96.939245 3.126913 57.959206 52.556177 -5.099328 -52.308207 0.000000 0.000000
95.487990 2.635730 14.426708 31.529914 -11.116747 -29.505142 0.000000 0.000000
95.305519 2.481573 11.099306 3.940873 -1.419539 -3.676328 0.000000 0.000000
96.025937 2.357655 14.488188 365.461907 17.625868 365.036620 0.000000 0.000000
96.458252 2.968399 39.245816 154.230546 -0.513619 154.229690 0.000000 0.000000
96.274742 2.198121 15.130931 408.879421 7.548095 408.809744 0.000000 0.000000
96.457291 2.352032 21.082838 744.406196 27.264266 743.906744 0.000000 0.000000
95.049512 2.621168 11.151490 3.593521 0.058107 3.593051 0.000000 0.000000
95.210872 2.039100 5.834955 0.000065 -0.000052 0.000038 0.000000 0.000000
95.090905 2.180638 6.705448 0.000059 -0.000056 0.000017 0.000000 0.000000
95.545442 2.198395 9.036399 44.745730 1.757948 44.711184 0.000000 0.000000
94.867104 2.466928 8.480858 6.978897 0.272752 6.973565 0.000000 0.000000
94.828812 2.316331 6.749700 0.000099 -0.000063 0.000077 0.000000 0.000000
95.363026 2.044284 6.613524 0.000051 -0.000041 0.000030 0.000000 0.000000
95.273305 2.334807 9.211278 2.897804 0.470568 2.859341 0.000000 0.000000
95.123095 2.327394 8.418387 1.860431 0.556943 1.775111 0.000000 0.000000
94.581129 2.461548 6.742473 0.000141 -0.000073 0.000121 0.000000 0.000000
95.011196 2.470557 9.311962 4.444669 0.444320 4.422405 0.000000 0.000000
94.439247 2.459796 5.849656 0.000098 -0.000078 0.000060 0.000000 0.000000
